Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18064.0,3.0,9.95,40931.77,264.63,0.596
1,1000000.0,2.0,6.0,67760.82,55735.27,0.731
2,15863.44,6.0,9.42,36825.54,386.81,0.659
3,21149.48,1.0,9.7,44553.03,3223.33,0.542
4,20043.34,5.0,9.85,39236.25,342.68,0.622
5,19355.29,4.0,9.24,38267.58,598.66,0.637
6,19034.46,2.0,9.31,45888.11,2571.23,0.521
7,1000000.0,5.0,2.0,33701.33,1180.38,0.707
8,1000000.0,3.0,10.0,57907.4,795.26,0.335
9,1000000.0,1.0,7.0,72265.67,54470.89,0.7
10,1000000.0,3.0,16.0,57616.4,838.66,0.34
11,1000000.0,5.0,13.5,54272.7,851.56,0.391
12,1000000.0,4.0,15.0,56160.67,845.91,0.362
13,1000000.0,6.0,3.0,47604.67,658.52,0.493
14,1000000.0,2.0,15.0,79696.0,16287.03,0.204
15,1000000.0,6.0,17.0,46852.67,522.2,0.505
16,1000000.0,6.0,10.0,45618.0,514.31,0.524
17,1000000.0,3.0,5.0,52708.0,891.7,0.415
