Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,17269.75,6.0,9.07,37678.79,389.58,0.707
1,20144.88,5.0,10.06,39634.53,365.03,0.672
2,19577.7,3.0,9.01,41623.29,542.79,0.636
3,1000000.0,2.0,9.0,71962.18,41877.89,0.356
4,17992.37,4.0,9.51,39135.03,509.08,0.681
5,15574.89,2.0,9.23,45599.33,1987.26,0.565
6,13478.76,1.0,9.33,44409.48,2054.14,0.587
7,1000000.0,3.0,6.0,52138.0,810.12,0.448
8,1000000.0,6.0,16.0,47641.33,519.3,0.528
9,1000000.0,1.0,2.5,62180.0,85786.25,0.756
10,1000000.0,3.0,2.0,60163.67,10692.0,0.316
11,1000000.0,6.0,7.0,43255.33,691.61,0.607
12,1000000.0,1.0,17.0,77105.0,53497.33,0.44
