Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,14957.11,2.0,9.25,47352.05,2028.17,0.505
1,18336.45,6.0,9.91,34671.53,210.07,0.707
2,18892.43,4.0,9.05,38358.01,307.35,0.648
3,19167.09,1.0,9.65,46310.16,2913.88,0.522
4,18320.05,5.0,10.09,40138.21,350.45,0.62
5,1000000.0,3.0,10.0,57907.4,795.26,0.336
6,1000000.0,6.0,4.5,46376.38,1347.24,0.52
7,14200.41,3.0,9.41,44294.95,276.84,0.553
8,1000000.0,6.0,14.0,47778.6,519.76,0.498
9,1000000.0,4.0,5.5,48419.2,3554.27,0.49
10,1000000.0,5.0,10.0,54284.0,859.49,0.394
11,1000000.0,1.0,9.5,78925.17,43926.67,0.596
12,1000000.0,1.0,16.0,77980.33,52046.33,0.707
13,1000000.0,5.0,4.5,40770.5,912.77,0.61
14,1000000.0,4.0,13.0,54548.33,852.06,0.39
