Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,60040.0,5.0,17.2,54451.2,525.3,0.362
1,13490.68,4.0,9.41,42688.91,279.0,0.542
2,16401.77,5.0,12.69,40257.53,236.45,0.58
3,14873.38,1.0,9.51,50550.28,2230.6,0.434
4,15201.44,2.0,10.31,47983.71,2046.29,0.47
5,22980.57,6.0,12.75,35366.93,211.59,0.654
6,9444.25,3.0,3.17,43174.24,216.09,0.535
7,11921.09,6.0,3.82,34892.32,262.7,0.662
8,17430.14,2.0,3.43,42605.41,2768.55,0.558
9,19193.91,5.0,5.73,31934.92,249.94,0.707
10,15571.69,3.0,13.23,42685.52,160.76,0.542
11,1000000.0,2.0,15.0,78058.0,14652.55,0.707
12,3670.0,2.0,14.0,56232.0,415.31,0.335
13,35168.5,3.0,7.5,41171.55,419.17,0.566
14,1000000.0,5.0,14.5,53231.75,859.43,0.382
