Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18114.3,6.0,8.64,36079.59,381.46,0.707
1,20507.42,5.0,9.63,39288.43,353.74,0.655
2,17353.12,3.0,9.81,42593.97,321.44,0.601
3,18782.5,4.0,9.85,40423.63,577.96,0.637
4,17730.41,1.0,8.96,46976.65,2732.63,0.531
5,18854.91,2.0,9.07,44011.89,2424.68,0.579
6,1000000.0,2.0,12.0,79644.22,20103.02,0.181
7,1000000.0,2.0,3.5,57170.67,77656.83,0.796
8,1000000.0,3.0,3.5,52632.25,861.48,0.438
9,1000000.0,3.0,15.0,58071.33,822.7,0.35
10,1000000.0,5.0,13.0,53355.67,824.99,0.427
11,1000000.0,3.0,8.0,55589.67,798.77,0.39
12,1000000.0,1.0,6.0,67121.0,57685.0,0.563
13,1000000.0,4.0,15.0,56160.67,845.91,0.381
14,1000000.0,6.0,10.0,45618.0,514.31,0.552
