Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18111.36,6.0,9.43,37373.75,472.98,0.528
1,20146.94,5.0,15.88,43214.76,313.43,0.416
2,30145.86,3.0,16.57,41730.64,384.52,0.445
3,4022.2,5.0,2.2,28089.36,509.19,0.707
4,20676.7,4.0,4.3,35201.15,1046.01,0.57
5,20697.06,3.0,3.5,36323.66,1219.99,0.549
6,13256.27,2.0,8.77,45632.7,2038.36,0.37
7,15213.25,5.0,8.31,45765.47,348.15,0.367
8,1259.0,4.0,12.78,40520.4,115.18,0.468
9,7580.85,1.0,7.85,40332.04,1179.62,0.472
10,2755.0,4.0,17.5,42369.75,266.57,0.432
11,24022.0,3.0,8.8,51693.8,485.62,0.253
12,20018.5,2.0,16.83,52085.0,361.6,0.245
13,1000000.0,2.0,5.5,64840.5,57515.75,0.707
