Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,20431.11,2.0,9.14,46906.66,2553.24,0.52
1,18535.0,3.0,9.13,43475.15,564.1,0.569
2,16955.25,5.0,9.39,38695.18,278.85,0.638
3,21896.34,1.0,9.47,46971.85,3295.78,0.519
4,20867.99,6.0,9.73,38174.64,393.99,0.645
5,18069.08,4.0,9.35,38858.09,338.55,0.635
6,1000000.0,2.0,6.5,70082.67,47344.5,0.465
7,1000000.0,4.0,15.5,55708.67,882.43,0.392
8,1000000.0,1.0,14.0,82865.0,46060.22,0.415
9,1000000.0,1.0,3.0,63546.8,78282.4,0.76
10,1000000.0,5.0,12.5,53502.25,840.96,0.424
11,1000000.0,5.0,2.5,33896.5,1133.49,0.707
12,1000000.0,3.0,2.0,60163.67,10692.0,0.341
13,1000000.0,4.0,10.0,53611.67,826.99,0.422
14,1000000.0,3.0,14.0,59199.33,808.08,0.342
