Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,14461.43,3.0,2.86,41932.0,146.51,0.519
1,13487.4,6.0,9.56,37576.22,203.01,0.58
2,13672.53,3.0,12.18,43368.11,266.26,0.499
3,28292.09,1.0,2.73,37588.79,4968.94,0.625
4,37000.0,5.0,1.0,28465.67,1058.05,0.708
5,7013.89,4.0,14.37,36369.92,207.49,0.597
6,2468.0,4.0,3.56,32284.92,259.52,0.654
7,16144.43,5.0,10.64,41914.29,309.43,0.519
8,14661.18,2.0,9.82,38671.26,1366.07,0.568
9,30158.71,1.0,9.86,49146.63,4325.98,0.465
10,1347.0,1.0,16.33,35820.62,218.4,0.604
11,1000000.0,5.0,2.0,33701.33,1180.38,0.636
12,1000000.0,3.0,10.0,57542.67,770.03,0.302
13,3367.0,2.0,18.0,46356.07,401.72,0.457
14,36700.0,3.0,18.0,56994.33,541.23,0.309
15,27525.25,4.0,7.75,38476.28,445.94,0.567
16,20422.0,2.0,1.4,40298.8,5288.43,0.597
17,40022.2,1.0,13.2,43704.04,5940.17,0.569
18,1000000.0,2.0,14.0,79064.33,14679.51,0.707
