Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18046.49,1.0,10.01,46515.62,2790.5,0.566
1,15722.34,6.0,9.26,36326.02,390.47,0.707
2,14807.52,4.0,9.6,42087.77,353.67,0.627
3,13030.32,3.0,9.19,41745.4,492.16,0.632
4,19214.0,5.0,9.49,38889.8,353.03,0.672
5,1000000.0,4.0,15.0,56160.67,845.91,0.433
6,1000000.0,1.0,13.0,87425.33,44295.0,0.355
7,1000000.0,4.0,4.0,39724.6,967.3,0.66
8,12224.96,2.0,9.58,45566.31,1724.7,0.579
9,1000000.0,2.0,13.0,80865.78,20851.8,0.189
10,1000000.0,3.0,4.0,48744.0,908.52,0.535
11,1000000.0,1.0,17.0,77105.0,53497.33,0.452
12,1000000.0,2.0,2.0,51886.33,87949.0,0.861
13,1000000.0,3.0,8.0,55589.67,798.77,0.441
14,1000000.0,3.0,15.0,57729.2,815.02,0.411
15,1000000.0,1.0,3.5,62829.0,74958.5,0.692
16,1000000.0,5.0,7.5,50150.0,878.05,0.516
17,1000000.0,6.0,16.0,47641.33,519.3,0.551
