Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,21438.37,1.0,9.87,44447.06,3262.24,0.565
1,15326.2,6.0,9.95,35424.42,218.03,0.707
2,17611.91,2.0,9.74,46252.16,2017.12,0.536
3,23051.5,3.0,9.68,44968.59,558.98,0.556
4,17279.95,5.0,8.94,35745.33,319.55,0.702
5,21159.5,4.0,9.12,39598.68,340.3,0.641
6,1000000.0,4.0,6.0,48157.0,856.42,0.505
7,1000000.0,3.0,2.5,58144.0,8282.2,0.356
8,1000000.0,2.0,15.5,80053.33,15446.86,0.151
9,1000000.0,1.0,17.0,77105.0,53497.33,0.531
10,1000000.0,2.0,4.5,62297.25,71401.5,0.761
11,1000000.0,6.0,7.5,43875.75,640.71,0.573
12,1000000.0,5.0,9.5,54186.75,864.64,0.41
13,1000000.0,5.0,5.0,42070.33,892.41,0.602
14,1000000.0,6.0,14.0,48575.33,523.4,0.499
15,1000000.0,1.0,7.0,68552.33,54019.0,0.565
16,1000000.0,3.0,7.5,55646.0,795.13,0.387
17,1000000.0,5.0,14.0,53337.67,867.27,0.423
