Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,37596.37,5.0,13.32,48346.95,393.28,0.324
1,20012.6,3.0,9.67,44399.27,354.04,0.419
2,17506.47,4.0,6.32,38270.19,329.17,0.565
3,19012.5,2.0,14.39,48116.81,2147.51,0.396
4,18568.5,1.0,10.5,47265.96,2817.21,0.458
5,19290.73,6.0,7.27,37782.03,199.51,0.577
6,9459.36,4.0,14.0,45847.54,262.67,0.383
7,35183.5,5.0,3.0,32362.13,536.71,0.708
8,40200.4,1.0,1.8,35484.32,6439.75,0.948
9,1000000.0,5.0,13.0,53725.6,865.91,0.208
10,1000000.0,3.0,17.0,56226.67,840.71,0.153
11,3700.0,5.0,7.17,51468.33,341.18,0.249
12,2527.75,2.0,6.5,38375.07,390.97,0.563
13,1000000.0,4.0,10.0,53611.67,826.99,0.209
14,3016.0,2.0,2.43,34597.5,557.09,0.655
15,42220.0,2.0,8.8,61821.0,5589.76,0.611
16,3002.5,1.0,16.75,56661.75,466.83,0.127
17,33400.0,6.0,17.67,45141.67,214.23,0.4
