Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,10697.09,6.0,13.68,33467.55,162.7,0.674
1,10625.32,3.0,4.76,44820.23,914.69,0.518
2,16065.59,3.0,14.27,45495.52,322.51,0.509
3,28331.64,4.0,11.06,45050.5,332.23,0.515
4,19283.09,1.0,14.09,38756.1,2750.56,0.601
5,21730.96,5.0,6.92,34489.74,365.86,0.66
6,2527.75,1.0,1.0,32480.17,509.0,0.687
7,30131.2,2.0,4.8,41339.62,4477.26,0.567
8,32121.1,5.0,16.2,47078.85,487.7,0.487
9,18335.5,2.0,9.0,31020.2,2170.22,0.707
10,22402.0,2.0,17.4,62932.6,2659.96,0.27
11,13569.0,6.0,3.0,39918.59,340.84,0.585
12,33667.0,1.0,10.0,43214.33,4499.79,0.541
13,13458.0,2.0,13.11,46045.14,1354.32,0.501
14,36670.0,2.0,1.0,34049.0,9567.95,0.67
15,1000000.0,1.0,2.5,62180.0,85786.25,0.76
16,1000000.0,4.0,9.0,51956.33,847.13,0.42
17,1000000.0,2.0,9.5,82587.0,29794.5,0.245
