Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18996.9,5.0,8.21,37148.48,343.36,0.707
1,19673.15,3.0,9.62,42316.03,494.67,0.626
2,20735.42,6.0,9.2,38268.84,393.26,0.69
3,10712.09,1.0,9.17,44188.75,1583.32,0.597
4,18519.77,2.0,9.42,46916.92,2464.9,0.554
5,19152.76,4.0,9.7,42409.24,552.95,0.625
6,1000000.0,2.0,16.0,81510.4,18458.13,0.147
7,27750.25,5.0,18.0,44069.8,444.53,0.598
8,1000000.0,5.0,4.0,39560.57,1015.19,0.669
9,1000000.0,6.0,11.5,46022.0,524.6,0.568
10,1000000.0,2.0,10.0,81971.2,27315.8,0.218
11,1000000.0,6.0,5.0,45048.29,678.06,0.583
12,1000000.0,1.0,6.0,67482.2,58802.6,0.525
13,1000000.0,3.0,16.0,56996.33,837.26,0.396
14,1000000.0,3.0,2.0,60163.67,10692.0,0.356
15,1000000.0,2.0,2.0,51886.33,87949.0,0.852
16,1000000.0,1.0,15.0,82197.0,49643.8,0.398
17,1000000.0,4.0,10.0,53611.67,826.99,0.449
18,1000000.0,4.0,6.0,48157.0,856.42,0.534
19,1000000.0,5.0,15.0,52816.0,871.12,0.461
