Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,20898.74,3.0,9.93,42142.73,353.73,0.603
1,19356.95,5.0,9.95,38513.15,327.54,0.659
2,1000000.0,2.0,5.0,64017.22,60879.33,0.566
3,17837.11,4.0,9.38,41670.55,349.82,0.611
4,21595.37,6.0,9.42,35340.6,226.5,0.707
5,18707.09,1.0,9.87,43059.41,2829.28,0.59
6,21336.09,2.0,9.17,45702.96,2630.26,0.549
7,1000000.0,3.0,11.5,57834.75,785.28,0.364
8,1000000.0,4.0,15.0,55412.29,887.92,0.401
9,1000000.0,5.0,3.5,37885.83,1036.39,0.668
10,1000000.0,6.0,11.0,45643.67,523.03,0.55
11,1000000.0,4.0,9.0,51956.33,847.13,0.454
12,1000000.0,1.0,2.0,61993.33,86485.33,0.768
13,1000000.0,6.0,4.0,43875.67,741.37,0.577
14,1000000.0,1.0,10.0,81699.8,38422.4,0.313
15,1000000.0,1.0,16.0,77980.33,52046.33,0.429
16,1000000.0,3.0,2.5,58144.0,8282.2,0.365
17,1000000.0,5.0,17.0,54773.67,837.26,0.411
