Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,32417.31,2.0,10.75,52809.74,3388.56,0.709
1,14250.52,1.0,7.8,45693.2,2074.37,0.478
2,20895.4,6.0,7.0,40310.19,189.37,0.35
3,31360.18,3.0,3.35,40775.69,1341.45,0.429
4,24023.0,4.0,12.78,42404.81,342.07,0.304
5,12802.79,3.0,11.16,41616.34,277.81,0.321
6,9683.27,5.0,10.58,38878.03,232.86,0.384
7,23524.0,6.0,14.89,40179.83,221.27,0.353
8,62002.0,3.0,17.2,51382.4,676.88,0.149
9,2800.0,5.0,17.25,55153.25,249.89,0.028
10,2767.75,1.0,16.25,45414.97,444.35,0.24
11,18685.0,5.0,1.33,31001.5,579.33,0.578
12,4002.4,2.0,1.4,25143.6,957.22,0.73
13,2102.91,4.0,3.36,33310.89,231.9,0.515
14,2204.2,6.0,1.4,35418.82,121.93,0.465
15,1000000.0,6.0,3.0,47604.67,658.52,0.212
