Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,15521.03,2.0,11.62,46680.24,1753.31,0.557
1,20817.3,1.0,9.16,48511.55,3078.92,0.532
2,14672.73,5.0,9.33,37433.7,314.9,0.683
3,14991.91,4.0,9.84,38767.24,320.33,0.665
4,1000000.0,2.0,12.5,79531.75,18822.4,0.186
5,19431.31,3.0,9.63,43357.31,301.01,0.602
6,12222.1,2.0,1.4,36622.64,3125.1,0.695
7,13979.42,6.0,9.75,35696.49,351.93,0.707
8,1000000.0,4.0,16.0,55942.4,900.44,0.43
9,1000000.0,1.0,13.0,87425.33,44295.0,0.361
10,1000000.0,2.0,4.0,60092.0,76313.67,0.727
11,1000000.0,3.0,14.5,58102.5,805.29,0.401
12,1000000.0,4.0,11.0,54202.67,848.28,0.454
13,1000000.0,4.0,3.0,36625.67,1023.69,0.694
14,1000000.0,4.0,7.0,50736.67,839.15,0.502
15,1000000.0,5.0,3.0,36887.6,1071.06,0.691
16,1000000.0,1.0,2.0,61993.33,86485.33,0.788
17,1000000.0,3.0,7.0,54769.0,801.69,0.446
18,1000000.0,6.0,14.0,48575.33,523.4,0.531
