Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,17369.25,4.0,9.69,40312.97,531.06,0.66
1,20308.91,2.0,9.94,44711.13,2319.15,0.593
2,21700.15,1.0,10.87,47281.47,3137.48,0.554
3,1000000.0,2.0,15.0,79696.0,16287.03,0.243
4,19594.5,5.0,9.26,37551.48,327.05,0.703
5,15631.0,6.0,9.58,37270.11,223.12,0.707
6,20059.88,3.0,9.94,44612.12,346.93,0.594
7,1000000.0,4.0,4.5,41779.0,906.6,0.638
8,24468.0,1.0,1.44,38009.62,4617.95,0.699
9,1000000.0,1.0,14.5,83121.75,48211.25,0.707
10,1000000.0,2.0,8.0,78505.4,35906.8,0.531
11,1000000.0,3.0,2.0,60163.67,10692.0,0.386
12,1000000.0,5.0,14.0,53520.0,855.33,0.457
13,1000000.0,6.0,6.0,42093.0,739.62,0.633
14,1000000.0,6.0,2.0,51134.0,2451.05,0.494
15,1000000.0,3.0,13.0,58775.8,796.95,0.376
16,1000000.0,6.0,14.5,48269.75,521.16,0.537
17,1000000.0,4.0,16.0,56225.0,902.14,0.415
