Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,17512.97,2.0,9.17,47763.21,1896.89,0.548
1,20003.44,4.0,9.15,37736.25,546.06,0.707
2,20303.23,6.0,9.72,38997.36,408.01,0.687
3,22767.55,5.0,9.89,39692.22,407.14,0.676
4,16171.09,3.0,10.48,42393.45,554.6,0.633
5,1000000.0,4.0,10.5,53715.5,837.62,0.454
6,18165.43,1.0,9.18,45530.09,2791.05,0.584
7,1000000.0,1.0,2.5,62180.0,85786.25,0.76
8,1000000.0,2.0,13.5,80900.25,20501.27,0.164
9,1000000.0,5.0,14.0,54182.22,849.98,0.446
10,1000000.0,3.0,12.0,58159.0,771.19,0.383
11,1000000.0,3.0,3.0,56560.0,6793.38,0.412
12,1000000.0,3.0,16.5,57155.25,845.76,0.399
13,1000000.0,4.0,17.0,56006.33,945.92,0.417
14,1000000.0,1.0,16.0,82309.8,47461.6,0.38
15,1000000.0,2.0,2.0,51886.33,87949.0,0.856
16,1000000.0,5.0,5.0,42070.33,892.41,0.638
