Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,3.0,34.0,2.33,1.0,12.0,1000.0,7603.3,89.68,0.54
1,1.0,240.4,5.4,2.0,3.0,46.0,9565.16,181.6,0.5
2,3.0,276.0,4.25,2.0,12.0,1000.0,15084.33,377.84,0.38
3,3.0,321.6,2.6,2.0,1.0,55.0,6705.23,2417.08,0.56
4,1.0,334.33,100.0,3.0,3.0,10.0,5406.14,274.66,0.59
5,1.0,357.22,3.89,1.0,6.0,50.0,10860.57,239.63,0.47
6,1.0,203.0,4.2,2.0,1.0,82.0,5328.36,240.15,0.59
7,1.0,35.5,3.67,6.0,12.0,55.0,7639.16,28.8,0.54
8,1.0,173.43,3.57,3.0,1.0,74.29,5871.11,182.35,0.58
9,1.0,5.5,100.0,3.0,6.0,55.0,506.77,100.26,0.7
10,3.0,38.11,4.0,6.0,6.0,60.0,14910.86,81.33,0.39
11,3.0,34.33,5.0,2.0,3.0,1000.0,9586.37,83.15,0.5
12,3.0,302.14,1.71,3.0,1.0,61.43,7396.2,3858.23,0.55
13,1.0,40.0,7.67,6.0,12.0,1000.0,11306.8,30.95,0.46
14,1.0,1000.0,2.0,6.0,1.0,10.0,10210.43,1028.65,0.49
15,1.0,26.0,2.25,2.0,12.0,1000.0,7073.25,18.3,0.56
16,3.0,431.4,5.2,2.0,3.0,46.0,13456.29,1111.69,0.42
17,3.0,334.33,6.17,3.0,6.0,55.0,13444.63,490.79,0.42
18,3.0,251.25,2.25,6.0,3.0,10.0,11298.28,740.8,0.46
19,1.0,37.33,4.5,3.0,3.0,85.0,9360.3,34.14,0.51
20,1.0,154.13,5.13,3.0,1.0,1000.0,7004.26,167.62,0.56
21,1.0,469.0,3.67,1.0,12.0,50.0,13140.39,306.87,0.42
22,1.0,204.8,3.4,2.0,3.0,1000.0,9784.54,145.14,0.5
23,3.0,137.22,2.67,3.0,12.0,20.0,15487.44,225.6,0.37
24,1.0,253.25,4.25,6.0,3.0,10.0,7418.85,174.48,0.55
25,3.0,247.22,2.89,1.0,3.0,60.0,12124.03,521.72,0.45
26,3.0,525.5,1.75,6.0,3.0,1000.0,14225.27,1447.67,0.4
27,1.0,334.5,2.17,1.0,3.0,40.0,7057.28,241.71,0.56
28,1.0,205.0,2.0,2.0,12.0,100.0,16247.5,99.98,0.36
29,1.0,242.4,8.2,1.0,1.0,64.0,7886.46,246.17,0.54
30,1.0,40.5,4.88,6.0,6.0,55.0,9327.37,35.11,0.51
31,1.0,3.75,2.0,1.0,3.0,1000.0,5337.22,5.99,0.59
32,1.0,23.0,7.2,2.0,6.0,64.0,6540.47,19.99,0.57
33,1.0,34.67,5.0,3.0,12.0,40.0,6548.03,30.49,0.57
34,3.0,337.0,2.0,2.0,6.0,1000.0,14595.23,558.13,0.39
35,1.0,10000.0,4.67,2.0,1.0,40.0,4077.9,24561.0,0.71
36,1.0,367.33,100.0,2.0,3.0,10.0,8567.08,293.88,0.52
37,3.0,50.75,3.75,2.0,6.0,55.0,10096.05,124.66,0.49
38,3.0,255.25,8.0,6.0,12.0,1000.0,17209.28,429.06,0.34
39,3.0,34.67,4.67,6.0,1.0,10.0,9676.3,112.16,0.5
40,3.0,19.33,3.33,2.0,12.0,40.0,9123.45,47.59,0.51
41,1.0,340.0,7.33,2.0,6.0,1000.0,13080.73,201.56,0.42
42,1.0,278.0,2.25,3.0,6.0,77.5,11572.48,184.13,0.46
43,3.0,337.0,1.33,3.0,3.0,1000.0,14021.17,822.98,0.4
44,3.0,10000.0,2.0,6.0,3.0,70.0,6169.43,39741.33,0.81
45,3.0,34.0,7.33,6.0,12.0,70.0,8103.63,69.23,0.53
