Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,1.0,34.0,2.0,6.0,3.0,70.0,6136.87,29.74,0.58
1,1.0,275.75,3.75,2.0,6.0,1000.0,9995.16,167.1,0.49
2,1.0,402.6,6.6,1.0,12.0,28.0,9394.48,247.54,0.51
3,1.0,140.62,3.75,3.0,6.0,32.5,7510.06,92.52,0.55
4,3.0,218.67,6.0,3.0,6.0,1000.0,16690.85,318.35,0.35
5,3.0,174.71,3.14,2.0,12.0,74.29,15026.09,262.39,0.38
6,3.0,134.3,3.5,2.0,3.0,46.0,13100.37,402.4,0.43
7,3.0,302.14,5.0,6.0,6.0,61.43,15618.26,526.0,0.37
8,3.0,202.17,3.5,3.0,6.0,55.0,14760.08,363.79,0.39
9,1.0,175.63,4.25,3.0,1.0,55.0,6781.55,186.97,0.56
10,1.0,401.75,3.88,2.0,1.0,43.75,7027.75,487.88,0.56
11,3.0,277.75,100.0,2.0,1.0,55.0,5606.63,1104.42,0.59
12,1.0,124.4,2.0,1.0,6.0,55.0,9776.19,87.18,0.5
13,1.0,277.75,3.25,3.0,6.0,1000.0,11054.44,178.61,0.47
14,1.0,517.17,4.33,1.0,3.0,1000.0,11031.1,382.34,0.47
15,3.0,222.6,5.0,3.0,3.0,1000.0,13494.66,456.76,0.42
16,3.0,220.0,4.5,2.0,3.0,1000.0,14127.67,577.03,0.4
17,1.0,503.0,1.25,3.0,12.0,32.5,12655.27,316.0,0.44
18,3.0,420.4,5.4,1.0,3.0,1000.0,11772.6,919.0,0.45
19,3.0,334.5,7.5,2.0,6.0,70.0,11950.33,507.7,0.45
20,1.0,221.2,1.8,6.0,1.0,28.0,6015.62,232.93,0.58
21,1.0,173.5,4.5,2.0,6.0,40.0,10142.1,111.51,0.49
22,1.0,341.3,3.4,6.0,12.0,73.0,13798.29,188.53,0.41
23,1.0,253.25,100.0,2.0,12.0,77.5,5366.07,207.99,0.59
24,1.0,3.0,2.6,3.0,3.0,46.0,4355.18,5.58,0.61
25,1.0,34.33,100.0,1.0,1.0,40.0,2629.67,150.95,0.65
26,1.0,10000.0,3.75,3.0,6.0,32.5,16541.5,5486.53,0.36
27,1.0,202.8,6.6,6.0,6.0,1000.0,7241.15,111.1,0.55
28,3.0,602.4,4.4,3.0,12.0,64.0,23708.84,918.4,0.2
29,3.0,1.33,4.67,1.0,12.0,1000.0,5249.37,8.28,0.6
30,3.0,337.0,100.0,1.0,6.0,70.0,7863.7,671.39,0.54
31,3.0,28.5,6.0,6.0,1.0,1000.0,8181.17,105.36,0.53
32,1.0,187.57,3.29,1.0,1.0,87.14,7257.55,201.16,0.55
33,3.0,24.4,2.2,6.0,1.0,46.0,8387.22,90.38,0.53
34,1.0,26.0,2.0,2.0,3.0,1000.0,5368.52,22.17,0.59
35,1.0,4.67,100.0,3.0,1.0,40.0,437.02,100.37,0.7
36,1.0,1.5,4.25,1.0,12.0,1000.0,2158.45,7.02,0.66
37,3.0,67.0,100.0,6.0,1.0,70.0,6558.7,248.23,0.57
38,1.0,53.0,4.0,2.0,3.0,100.0,10386.55,41.92,0.48
39,3.0,37.33,100.0,2.0,3.0,40.0,5914.73,143.8,0.58
40,3.0,37.0,1.0,3.0,3.0,10.0,12247.63,91.23,0.44
41,1.0,370.0,2.0,6.0,1.0,1000.0,9464.0,400.41,0.5
42,3.0,275.75,3.25,3.0,12.0,1000.0,13356.35,490.86,0.42
43,3.0,367.0,2.33,1.0,6.0,1000.0,11299.27,916.0,0.46
44,1.0,42.4,3.4,6.0,6.0,82.0,8561.04,39.08,0.52
45,1.0,43.71,3.29,1.0,3.0,35.71,6962.04,39.01,0.56
46,3.0,4.0,4.33,2.0,1.0,1000.0,5868.77,17.78,0.58
47,1.0,26.25,100.0,3.0,12.0,55.0,2154.32,103.94,0.66
48,3.0,10000.0,4.67,1.0,1.0,40.0,5969.33,38313.67,0.77
49,1.0,37.0,1.0,1.0,1.0,1000.0,6891.63,45.3,0.56
50,3.0,337.0,1.67,6.0,3.0,1000.0,12405.5,893.78,0.44
51,3.0,3.5,1.25,6.0,3.0,32.5,9823.75,8.92,0.5
52,3.0,4.67,2.33,2.0,1.0,70.0,8759.83,16.69,0.52
53,3.0,10000.0,4.67,3.0,3.0,10.0,7848.63,35483.33,0.72
54,3.0,670.0,10.0,1.0,6.0,40.0,18584.33,1456.53,0.31
55,1.0,340.0,2.0,2.0,1.0,1000.0,10187.17,391.8,0.49
56,1.0,670.0,2.0,3.0,3.0,1000.0,15388.67,437.57,0.38
