Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,3.0,610.6,4.4,2.0,3.0,55.0,12913.62,1506.53,0.42
1,3.0,160.71,3.43,2.0,6.0,61.43,13036.01,273.85,0.42
2,3.0,3.75,7.75,2.0,3.0,1000.0,8389.2,11.95,0.52
3,1.0,13.62,2.12,2.0,1.0,43.75,3358.94,19.61,0.63
4,1.0,275.75,100.0,2.0,1.0,10.0,4513.09,357.52,0.61
5,1.0,40.0,4.67,1.0,3.0,70.0,10887.3,33.36,0.47
6,1.0,277.75,1.75,1.0,3.0,1000.0,10029.02,206.17,0.49
7,1.0,37.0,1.33,3.0,3.0,40.0,9818.2,31.6,0.49
8,1.0,204.6,3.8,3.0,1.0,82.0,6171.47,209.05,0.57
9,1.0,10000.0,2.0,1.0,3.0,70.0,19942.33,6353.77,0.28
10,1.0,28.0,4.0,3.0,6.0,55.0,6444.45,24.99,0.57
11,1.0,7.33,2.33,2.0,6.0,70.0,9286.27,8.59,0.5
12,3.0,37.33,5.0,3.0,3.0,1000.0,13416.27,89.09,0.41
13,3.0,161.86,3.29,6.0,3.0,74.29,13760.63,580.37,0.41
14,3.0,149.0,4.71,1.0,6.0,48.57,12637.71,263.3,0.43
15,3.0,203.67,6.0,1.0,3.0,55.0,12712.37,423.34,0.43
16,3.0,352.17,7.5,2.0,1.0,25.0,5906.38,2409.44,0.58
17,3.0,276.88,3.12,3.0,3.0,77.5,13818.55,822.06,0.4
18,1.0,30.25,4.0,1.0,12.0,1000.0,9458.22,24.95,0.5
19,1.0,4.0,6.0,1.0,6.0,10.0,4107.98,8.9,0.62
20,3.0,222.8,7.2,6.0,1.0,1000.0,7138.72,3071.82,0.55
21,3.0,7.75,3.75,3.0,6.0,55.0,14669.48,15.26,0.39
22,3.0,37.33,100.0,1.0,1.0,1000.0,4208.62,188.85,0.62
23,3.0,370.0,1.33,1.0,1.0,1000.0,6705.23,2993.76,0.56
24,1.0,202.17,3.17,3.0,12.0,55.0,10215.85,128.49,0.48
25,1.0,67.0,100.0,6.0,1.0,40.0,4985.94,117.94,0.6
26,1.0,37.0,7.67,2.0,6.0,1000.0,10412.25,27.06,0.48
27,1.0,367.0,2.67,1.0,6.0,1000.0,10514.53,259.15,0.48
28,1.0,42.6,3.8,1.0,1.0,64.0,5819.22,52.26,0.58
29,1.0,275.75,2.0,2.0,3.0,1000.0,9083.8,195.3,0.51
30,3.0,4.33,4.83,3.0,12.0,55.0,10060.88,11.48,0.49
31,3.0,367.0,100.0,3.0,3.0,70.0,12110.23,764.16,0.44
32,1.0,370.0,2.0,3.0,1.0,1000.0,9131.33,400.27,0.51
33,3.0,289.29,4.14,2.0,12.0,61.43,15332.26,384.93,0.37
34,1.0,34.33,100.0,2.0,12.0,10.0,3004.34,104.33,0.64
35,1.0,169.33,3.83,1.0,12.0,25.0,6147.39,106.13,0.57
36,1.0,10000.0,4.25,3.0,3.0,55.0,16369.75,5872.9,0.36
37,1.0,277.75,100.0,1.0,3.0,1000.0,6360.21,257.79,0.57
38,3.0,370.0,100.0,2.0,1.0,10.0,7207.87,1434.36,0.55
39,1.0,10000.0,2.0,1.0,12.0,40.0,25528.0,4940.77,0.16
40,1.0,1.33,1.67,2.0,3.0,40.0,2685.9,5.08,0.65
41,3.0,253.25,6.5,6.0,6.0,100.0,14408.8,388.7,0.39
42,1.0,500.75,2.25,6.0,12.0,10.0,10787.3,275.74,0.47
43,3.0,26.0,2.0,3.0,6.0,1000.0,9423.6,58.06,0.5
44,3.0,28.25,2.0,6.0,12.0,1000.0,12542.58,53.17,0.43
45,1.0,253.25,1.5,6.0,6.0,1000.0,9518.0,162.71,0.5
46,1.0,34.0,100.0,1.0,6.0,40.0,3056.32,106.29,0.64
47,3.0,276.0,4.5,1.0,3.0,1000.0,11238.38,711.24,0.46
48,1.0,1000.0,4.33,3.0,12.0,1000.0,17008.0,601.6,0.33
49,3.0,37.33,5.33,1.0,6.0,1000.0,12094.43,93.92,0.44
50,3.0,10000.0,4.0,6.0,3.0,77.5,6330.67,38077.75,0.79
51,1.0,4.33,1.0,6.0,6.0,100.0,7193.77,5.29,0.55
52,1.0,28.25,4.25,3.0,3.0,1000.0,8079.75,24.91,0.53
53,1.0,257.5,1.75,3.0,6.0,1000.0,13693.25,160.54,0.41
54,3.0,370.0,100.0,3.0,6.0,70.0,16045.53,540.5,0.35
55,3.0,367.33,5.0,2.0,6.0,1000.0,13677.43,632.73,0.41
56,1.0,4.0,4.33,2.0,12.0,1000.0,4816.65,8.76,0.6
57,1.0,334.67,1.67,1.0,1.0,1000.0,5673.83,372.42,0.58
58,3.0,4.33,100.0,1.0,6.0,70.0,1211.24,108.08,0.68
59,3.0,302.5,4.5,3.0,1.0,32.5,7887.65,3673.04,0.54
