Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,1.0,291.73,4.09,1.0,3.0,50.91,7912.51,213.95,0.55
1,1.0,7.33,4.0,1.0,6.0,100.0,7774.93,9.04,0.55
2,1.0,303.29,4.71,6.0,12.0,61.43,11198.44,163.83,0.48
3,1.0,34.33,3.0,3.0,12.0,1000.0,6585.4,28.67,0.57
4,3.0,50.67,4.33,3.0,1.0,55.0,8000.28,183.03,0.54
5,3.0,114.5,2.6,2.0,12.0,46.0,12416.29,178.33,0.45
6,3.0,221.0,5.0,6.0,1.0,10.0,6935.98,3206.11,0.57
7,1.0,501.0,5.75,2.0,12.0,1000.0,11940.1,273.54,0.46
8,3.0,184.17,4.5,6.0,12.0,1000.0,12295.6,349.6,0.46
9,1.0,200.67,5.0,3.0,3.0,1000.0,7814.42,144.73,0.55
10,1.0,500.75,2.25,3.0,12.0,100.0,10380.12,288.88,0.5
11,3.0,458.86,4.43,1.0,12.0,48.57,15863.09,1099.78,0.38
12,1.0,34.33,5.0,1.0,12.0,10.0,6746.82,27.02,0.57
13,1.0,222.6,5.0,1.0,3.0,1000.0,8382.94,173.97,0.54
14,3.0,29.25,3.0,6.0,3.0,43.75,12430.66,64.32,0.45
15,1.0,19.14,3.29,1.0,1.0,61.43,5697.69,23.81,0.59
16,3.0,159.29,4.29,2.0,3.0,74.29,9274.2,373.38,0.52
17,1.0,10000.0,2.0,3.0,6.0,70.0,15884.67,5739.1,0.39
18,3.0,51.0,1.5,1.0,6.0,32.5,10889.85,128.0,0.49
19,3.0,221.2,4.2,1.0,3.0,1000.0,11008.72,566.0,0.48
20,3.0,139.75,5.12,6.0,12.0,32.5,11774.26,214.95,0.47
21,3.0,37.0,100.0,3.0,1.0,70.0,4108.65,178.43,0.62
22,1.0,188.5,3.5,2.0,3.0,70.0,11072.2,134.77,0.48
23,1.0,337.33,100.0,3.0,1.0,100.0,3853.02,413.87,0.63
24,3.0,20.83,1.67,1.0,3.0,70.0,10292.77,58.57,0.5
25,1.0,37.0,7.67,6.0,6.0,1000.0,9197.98,30.07,0.52
26,1.0,347.22,5.56,3.0,1.0,70.0,6899.13,350.35,0.57
27,3.0,28.25,6.0,2.0,12.0,1000.0,10699.08,62.02,0.49
28,3.0,1.67,7.67,3.0,6.0,10.0,5542.23,9.59,0.6
29,3.0,402.4,5.4,6.0,3.0,1000.0,12856.26,920.15,0.45
30,1.0,30.5,4.25,2.0,1.0,55.0,7208.1,38.44,0.56
31,3.0,334.33,1.67,3.0,12.0,1000.0,12964.33,579.89,0.44
32,1.0,42.4,4.8,6.0,6.0,46.0,9249.37,34.07,0.52
33,3.0,353.67,1.67,3.0,3.0,85.0,14076.32,1391.19,0.42
34,1.0,800.2,1.6,6.0,3.0,82.0,14247.22,504.3,0.42
35,3.0,203.67,1.33,1.0,6.0,1000.0,13625.23,537.54,0.43
36,3.0,4.67,1.67,2.0,6.0,1000.0,10762.93,12.76,0.49
37,1.0,28.25,2.5,3.0,3.0,10.0,8059.45,24.95,0.54
38,3.0,37.0,100.0,2.0,6.0,70.0,5768.32,134.97,0.59
39,3.0,10000.0,1.67,1.0,1.0,70.0,6021.73,42350.33,0.8
40,1.0,3.25,6.0,2.0,12.0,77.5,3198.35,8.73,0.64
41,3.0,422.2,1.6,6.0,1.0,1000.0,6076.98,5667.24,0.59
42,3.0,253.25,2.25,3.0,12.0,55.0,14514.35,395.25,0.41
43,3.0,28.5,8.25,1.0,1.0,55.0,7602.73,108.02,0.55
44,3.0,337.0,1.67,2.0,1.0,40.0,6277.3,2638.1,0.58
45,1.0,525.5,4.5,3.0,1.0,1000.0,8090.07,577.58,0.54
46,3.0,334.67,2.33,3.0,6.0,1000.0,14557.4,501.01,0.41
47,3.0,334.33,4.67,1.0,12.0,1000.0,9100.87,948.02,0.52
48,3.0,10000.0,5.33,3.0,6.0,70.0,12684.0,31003.33,0.6
49,3.0,400.0,4.67,2.0,1.0,1000.0,7440.8,2970.53,0.56
