Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,1.0,160.57,5.29,6.0,3.0,1000.0,8117.83,100.0,0.54
1,1.0,201.2,100.0,1.0,6.0,46.0,3272.75,217.01,0.64
2,1.0,95.54,4.31,6.0,1.0,51.54,5544.97,101.39,0.6
3,1.0,431.3,3.4,6.0,3.0,55.0,12697.37,285.21,0.45
4,3.0,375.09,3.82,1.0,6.0,59.09,12518.32,864.86,0.45
5,1.0,52.17,4.33,1.0,3.0,70.0,9043.15,44.48,0.52
6,3.0,172.23,3.15,3.0,3.0,44.62,12701.25,426.83,0.45
7,1.0,139.62,5.12,6.0,12.0,1000.0,7583.61,77.66,0.55
8,3.0,150.07,4.73,3.0,6.0,64.0,13424.27,255.51,0.43
9,3.0,350.5,3.17,2.0,3.0,1000.0,9173.27,1015.58,0.52
10,1.0,289.2,5.27,2.0,12.0,58.0,12413.47,160.53,0.45
11,3.0,361.08,5.25,1.0,1.0,70.0,7061.36,2309.29,0.57
12,1.0,316.14,2.0,1.0,12.0,1000.0,11670.29,206.03,0.47
13,3.0,222.7,2.6,3.0,12.0,73.0,15478.0,366.61,0.39
14,1.0,203.67,4.67,1.0,3.0,1000.0,10734.55,158.33,0.49
15,3.0,37.33,100.0,3.0,12.0,1000.0,7579.87,126.48,0.55
16,1.0,510.25,3.83,1.0,1.0,47.5,7596.02,548.06,0.55
17,1.0,502.75,100.0,2.0,12.0,55.0,10459.76,314.9,0.49
18,3.0,176.0,4.29,2.0,1.0,1000.0,8691.36,1128.01,0.53
19,1.0,4.0,100.0,6.0,12.0,40.0,374.0,100.43,0.7
20,1.0,25.33,1.89,3.0,6.0,40.0,7742.07,21.68,0.55
21,1.0,185.67,2.67,3.0,12.0,1000.0,8567.85,115.08,0.53
22,1.0,26.22,3.0,3.0,1.0,90.0,5755.37,33.27,0.59
23,1.0,700.0,100.0,2.0,6.0,40.0,15223.07,426.29,0.4
24,1.0,277.17,5.42,1.0,12.0,70.0,10214.62,182.39,0.5
25,1.0,37.0,4.33,6.0,6.0,1000.0,9114.65,32.99,0.52
26,3.0,25.56,1.78,2.0,6.0,50.0,11458.03,62.72,0.47
27,1.0,10000.0,6.0,6.0,3.0,55.0,24796.0,4009.45,0.21
28,3.0,126.22,4.78,2.0,12.0,40.0,12551.54,174.76,0.45
29,3.0,362.87,2.47,6.0,12.0,46.0,20840.01,825.09,0.28
30,1.0,152.0,3.37,2.0,3.0,1000.0,8183.7,101.15,0.54
31,3.0,203.5,100.0,6.0,6.0,55.0,11582.45,307.63,0.47
32,3.0,10000.0,4.67,2.0,3.0,1000.0,7560.5,32689.67,0.75
33,3.0,251.93,4.36,6.0,6.0,42.14,17186.63,421.7,0.36
34,1.0,102.5,4.5,2.0,6.0,40.0,7580.01,64.06,0.55
35,1.0,212.8,2.2,3.0,12.0,46.0,8709.2,133.56,0.53
36,1.0,187.25,4.67,6.0,12.0,25.0,10207.48,112.58,0.5
37,1.0,320.8,4.6,3.0,6.0,1000.0,9559.95,198.0,0.51
38,3.0,24.6,5.6,1.0,12.0,46.0,10531.18,58.95,0.49
39,3.0,222.7,4.6,6.0,1.0,37.0,7625.19,2654.98,0.55
40,3.0,317.43,3.43,6.0,12.0,1000.0,20415.53,524.21,0.29
41,1.0,10000.0,5.0,1.0,6.0,70.0,23058.67,5459.8,0.25
42,3.0,222.7,4.4,3.0,1.0,1000.0,8255.19,2628.45,0.54
43,1.0,275.75,100.0,6.0,6.0,1000.0,6200.89,210.87,0.58
44,3.0,34.33,1.67,3.0,3.0,1000.0,10584.5,83.75,0.49
45,1.0,322.4,3.0,3.0,3.0,46.0,10371.21,215.81,0.5
46,3.0,240.4,3.4,1.0,1.0,1000.0,5553.1,1871.74,0.6
47,3.0,188.86,5.71,2.0,6.0,1000.0,15067.61,307.92,0.4
48,1.0,337.33,2.67,6.0,1.0,1000.0,7299.7,363.44,0.56
49,1.0,308.57,4.21,2.0,3.0,80.71,10098.1,220.52,0.5
50,1.0,335.83,6.17,1.0,1.0,1000.0,5633.47,377.99,0.59
51,3.0,128.38,4.75,2.0,3.0,66.25,9297.46,409.11,0.52
52,1.0,280.0,100.0,3.0,12.0,55.0,6639.09,226.41,0.57
53,1.0,10000.0,4.67,2.0,3.0,1000.0,12979.33,9602.2,0.47
54,3.0,202.0,3.33,3.0,1.0,100.0,6890.72,2462.48,0.57
55,1.0,32.14,6.43,6.0,6.0,74.29,8489.07,26.67,0.53
56,1.0,500.75,100.0,1.0,12.0,32.5,8429.66,347.13,0.54
57,1.0,103.92,4.25,1.0,6.0,62.5,8122.86,75.73,0.54
58,3.0,96.29,3.14,1.0,3.0,61.43,10567.19,266.81,0.49
59,3.0,147.11,4.67,3.0,12.0,1000.0,15234.61,236.65,0.4
60,1.0,42.6,3.2,3.0,1.0,1000.0,6856.82,51.17,0.57
61,3.0,368.5,4.5,3.0,6.0,1000.0,18535.13,527.32,0.33
62,1.0,251.0,100.0,6.0,3.0,55.0,4335.13,227.61,0.62
63,3.0,19.33,3.5,2.0,1.0,55.0,8107.83,65.97,0.54
64,1.0,264.5,4.88,1.0,6.0,1000.0,8593.62,177.42,0.53
65,3.0,253.25,100.0,2.0,3.0,55.0,5489.15,581.13,0.6
66,3.0,224.4,3.6,6.0,1.0,1000.0,8508.46,2653.55,0.54
67,3.0,353.67,3.33,2.0,12.0,1000.0,18331.3,491.32,0.33
68,3.0,10000.0,2.0,3.0,6.0,10.0,12339.6,27518.0,0.62
69,3.0,10000.0,3.33,2.0,12.0,55.0,13038.33,22801.17,0.56
70,3.0,10000.0,5.75,2.0,1.0,55.0,6860.15,38385.75,0.82
71,3.0,502.75,3.75,1.0,12.0,1000.0,13696.52,1003.99,0.43
72,1.0,253.0,3.75,2.0,6.0,1000.0,8378.66,141.07,0.54
73,3.0,7.0,100.0,3.0,12.0,40.0,1973.89,102.08,0.67
74,1.0,187.92,4.5,2.0,1.0,47.5,7605.62,220.82,0.55
75,3.0,153.0,3.25,1.0,3.0,1000.0,11518.33,361.52,0.47
76,3.0,186.43,4.14,6.0,6.0,1000.0,14793.89,268.87,0.41
77,1.0,10000.0,5.0,3.0,12.0,100.0,17080.33,5220.57,0.37
78,3.0,5.2,5.0,6.0,3.0,64.0,11405.98,12.58,0.47
79,1.0,340.0,100.0,3.0,6.0,70.0,5863.6,264.44,0.59
80,3.0,10000.0,1.67,6.0,3.0,40.0,7541.73,36495.33,0.79
81,3.0,278.0,100.0,3.0,6.0,1000.0,12166.14,414.8,0.46
82,1.0,32.5,4.25,3.0,3.0,1000.0,11138.77,28.05,0.48
83,1.0,367.33,100.0,3.0,3.0,10.0,8165.61,279.99,0.54
84,3.0,334.33,100.0,1.0,6.0,1000.0,7431.83,631.13,0.56
85,3.0,276.0,100.0,3.0,6.0,32.5,11039.61,450.29,0.48
86,3.0,667.0,100.0,1.0,6.0,70.0,12949.83,1272.45,0.44
87,1.0,10000.0,2.0,2.0,3.0,100.0,11005.4,9818.83,0.51
88,1.0,10000.0,4.0,6.0,1.0,55.0,4675.55,14978.5,0.65
89,3.0,502.75,2.25,1.0,6.0,1000.0,13951.33,1281.13,0.42
90,3.0,334.33,100.0,1.0,12.0,40.0,6769.27,664.87,0.57
91,1.0,10000.0,4.67,2.0,12.0,70.0,30998.0,4377.9,0.1
92,3.0,400.0,100.0,3.0,1.0,40.0,7484.43,4322.93,0.56
