Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,3.0,4.33,10.0,6.0,1.0,40.0,6116.9,17.52,0.58
1,3.0,19.33,1.67,2.0,1.0,55.0,7865.58,75.45,0.54
2,1.0,30.86,3.14,1.0,1.0,61.43,5376.19,36.98,0.6
3,3.0,370.0,2.33,1.0,1.0,1000.0,6900.87,2564.69,0.57
4,1.0,370.0,100.0,3.0,3.0,1000.0,8226.77,278.5,0.54
5,3.0,49.0,4.56,6.0,6.0,40.0,15752.98,101.6,0.38
6,1.0,242.2,3.8,3.0,3.0,64.0,10272.82,167.86,0.49
7,3.0,175.5,3.38,1.0,3.0,55.0,10580.2,484.35,0.49
8,1.0,37.0,2.17,2.0,6.0,40.0,10713.62,24.74,0.49
9,1.0,24.6,4.0,1.0,12.0,1000.0,8120.38,21.4,0.54
10,1.0,316.29,5.43,1.0,6.0,61.43,11464.81,217.6,0.47
11,1.0,18.0,3.67,3.0,12.0,55.0,4479.53,17.65,0.62
12,3.0,253.5,5.75,2.0,6.0,100.0,14290.2,385.52,0.41
13,3.0,350.67,4.0,6.0,12.0,70.0,14435.63,926.63,0.41
14,3.0,34.33,1.67,6.0,3.0,40.0,10531.13,76.89,0.49
15,1.0,478.22,1.89,2.0,3.0,30.0,12810.94,349.91,0.44
16,1.0,141.75,4.0,1.0,1.0,1000.0,6051.46,147.0,0.58
17,3.0,160.71,5.0,2.0,12.0,61.43,13547.69,230.14,0.43
18,3.0,222.6,3.4,1.0,6.0,28.0,10806.92,667.48,0.48
19,1.0,1.67,4.67,6.0,12.0,1000.0,2590.83,7.56,0.65
20,3.0,24.6,5.2,1.0,12.0,46.0,11163.82,58.06,0.48
21,1.0,501.0,2.0,6.0,6.0,32.5,10923.0,282.43,0.48
22,1.0,246.33,4.78,6.0,3.0,60.0,9285.44,162.37,0.51
23,1.0,42.6,6.6,6.0,1.0,46.0,5919.39,48.86,0.59
24,3.0,286.71,4.0,3.0,12.0,35.71,13531.79,479.12,0.43
25,1.0,153.0,2.62,2.0,1.0,55.0,6727.06,184.48,0.57
26,3.0,4.0,2.0,6.0,6.0,1000.0,9874.3,9.52,0.5
27,1.0,46.14,4.14,1.0,12.0,35.71,9432.86,34.93,0.51
28,3.0,222.8,1.8,6.0,1.0,1000.0,7730.76,2657.65,0.55
29,3.0,10000.0,5.0,2.0,3.0,1000.0,7725.83,34278.33,0.75
30,1.0,622.0,1.8,3.0,3.0,1000.0,14860.0,410.52,0.4
31,1.0,1.33,1.67,6.0,6.0,1000.0,3043.07,4.28,0.65
32,3.0,184.5,4.83,2.0,3.0,70.0,9696.87,421.3,0.51
33,1.0,173.57,2.14,3.0,6.0,48.57,9827.44,110.99,0.5
34,3.0,240.6,1.8,3.0,6.0,100.0,14906.16,421.09,0.4
35,1.0,502.75,2.25,2.0,12.0,55.0,13897.65,246.63,0.42
36,1.0,37.0,100.0,6.0,1.0,40.0,2849.13,109.52,0.65
37,3.0,340.0,7.67,2.0,12.0,1000.0,20182.33,424.99,0.29
38,3.0,34.0,100.0,2.0,1.0,70.0,3267.09,180.16,0.64
39,1.0,26.4,5.0,3.0,1.0,64.0,6852.08,33.4,0.57
40,1.0,10000.0,7.67,6.0,6.0,40.0,28218.0,3374.23,0.13
41,3.0,42.4,3.8,3.0,3.0,46.0,11755.46,95.1,0.46
42,3.0,337.33,1.67,1.0,3.0,1000.0,13392.03,600.17,0.43
43,1.0,222.6,3.2,1.0,3.0,64.0,8672.12,158.21,0.53
44,1.0,10000.0,7.33,3.0,1.0,40.0,4729.43,16552.67,0.66
45,3.0,75.25,2.25,3.0,1.0,77.5,8056.52,278.66,0.54
46,3.0,1.67,4.33,2.0,1.0,1000.0,7048.23,8.39,0.56
47,3.0,222.6,2.8,1.0,12.0,1000.0,12323.4,425.08,0.45
48,3.0,367.33,2.33,6.0,12.0,1000.0,19836.57,998.61,0.3
49,3.0,503.0,4.0,6.0,3.0,1000.0,16017.27,1225.35,0.37
