Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,1.0,370.0,2.0,2.0,3.0,1000.0,14598.33,234.14,0.41
1,1.0,34.0,100.0,6.0,6.0,70.0,2743.25,105.22,0.65
2,3.0,10000.0,5.0,3.0,12.0,40.0,16253.33,33462.33,0.61
3,3.0,70.0,1.67,1.0,3.0,100.0,12703.33,191.48,0.45
4,3.0,331.4,3.4,2.0,6.0,55.0,14799.9,556.06,0.41
5,1.0,138.62,6.13,1.0,6.0,43.75,5570.23,91.29,0.59
6,1.0,1.67,1.67,3.0,6.0,1000.0,3810.83,4.4,0.63
7,3.0,222.5,3.4,6.0,1.0,64.0,6751.28,2869.77,0.57
8,1.0,288.12,1.88,1.0,12.0,55.0,10967.43,193.12,0.48
9,1.0,200.67,2.0,1.0,1.0,40.0,5882.35,214.9,0.59
10,1.0,525.25,100.0,2.0,3.0,55.0,10419.87,386.98,0.49
11,3.0,7.33,4.67,1.0,12.0,1000.0,12321.5,18.35,0.46
12,1.0,4.33,2.0,3.0,3.0,1000.0,6684.0,5.83,0.57
13,3.0,527.5,2.0,6.0,12.0,1000.0,25338.5,1220.01,0.19
14,1.0,19.5,2.0,1.0,3.0,40.0,6279.72,19.18,0.58
15,1.0,247.11,4.67,6.0,3.0,50.0,10144.56,160.89,0.5
16,3.0,70.0,100.0,2.0,12.0,40.0,13103.07,158.45,0.44
17,3.0,5.75,5.75,6.0,12.0,55.0,11288.05,14.18,0.48
18,3.0,300.25,4.5,3.0,1.0,1000.0,7100.57,3522.92,0.57
19,3.0,67.0,2.0,3.0,6.0,100.0,13030.97,145.93,0.44
20,3.0,44.4,4.2,6.0,6.0,64.0,14839.24,90.42,0.4
21,3.0,26.0,4.25,3.0,12.0,55.0,8880.02,55.66,0.53
22,1.0,300.5,4.25,6.0,12.0,100.0,13544.67,174.93,0.43
23,1.0,290.43,2.86,6.0,6.0,74.29,11630.04,176.42,0.47
24,1.0,201.6,4.0,2.0,3.0,46.0,5798.02,155.79,0.59
25,1.0,201.0,4.5,6.0,12.0,1000.0,9615.03,112.38,0.51
26,3.0,420.4,2.4,6.0,3.0,46.0,12101.56,1241.0,0.46
27,1.0,5.0,3.6,3.0,3.0,64.0,6684.28,7.18,0.57
28,1.0,37.0,5.0,3.0,1.0,1000.0,5612.47,46.32,0.59
29,3.0,10000.0,7.0,3.0,1.0,70.0,6687.43,42115.33,0.83
30,1.0,370.0,100.0,6.0,1.0,100.0,6269.27,392.96,0.58
31,1.0,62.2,1.8,2.0,1.0,46.0,7655.02,78.23,0.55
32,3.0,600.8,5.4,1.0,3.0,1000.0,14310.24,1396.63,0.42
33,3.0,370.0,2.67,3.0,3.0,1000.0,15707.0,1198.04,0.39
34,3.0,34.33,100.0,6.0,12.0,70.0,6810.18,120.5,0.57
35,3.0,187.33,3.17,1.0,1.0,40.0,7548.8,1327.4,0.55
36,3.0,6.0,3.75,3.0,3.0,55.0,12450.92,13.86,0.45
37,1.0,50.75,4.5,1.0,12.0,1000.0,8571.37,39.99,0.53
38,1.0,34.33,100.0,1.0,1.0,1000.0,2596.36,114.15,0.66
39,3.0,4.67,1.33,2.0,12.0,40.0,10347.1,12.73,0.5
40,1.0,300.5,4.25,2.0,12.0,1000.0,17197.62,167.11,0.36
41,1.0,246.22,4.67,3.0,6.0,70.0,8490.78,162.99,0.53
42,1.0,1000.0,4.33,3.0,1.0,40.0,9877.03,1012.17,0.51
43,1.0,10000.0,5.0,6.0,12.0,100.0,25609.33,3730.73,0.19
44,3.0,443.57,3.14,1.0,6.0,61.43,13336.2,886.46,0.44
45,1.0,34.33,2.33,6.0,1.0,100.0,4955.07,40.12,0.61
46,3.0,10000.0,2.0,1.0,3.0,70.0,7070.23,35785.33,0.76
47,1.0,37.33,1.67,6.0,6.0,1000.0,10749.8,29.02,0.49
48,3.0,10000.0,7.0,1.0,6.0,70.0,6412.5,39656.33,0.81
49,3.0,185.83,6.17,3.0,1.0,40.0,7092.77,2235.3,0.56
50,1.0,700.0,2.33,2.0,6.0,10.0,18493.0,393.78,0.33
51,3.0,277.75,2.0,2.0,3.0,1000.0,12568.23,734.72,0.45
52,1.0,278.0,2.75,2.0,12.0,77.5,14395.6,133.97,0.41
53,3.0,1000.0,4.33,1.0,6.0,1000.0,18779.33,2419.87,0.33
54,1.0,337.0,10.0,2.0,6.0,100.0,9255.08,204.67,0.52
55,1.0,253.25,2.25,3.0,12.0,55.0,9009.95,151.64,0.52
56,3.0,224.4,2.2,2.0,1.0,46.0,7935.34,1652.29,0.55
57,3.0,37.0,100.0,2.0,6.0,100.0,5767.32,134.93,0.59
58,1.0,337.33,100.0,2.0,6.0,1000.0,6385.5,267.47,0.58
