Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,48.94,4.0,10.06,17160.32,224.99,0.277
1,6.0,2.0,6.4,16052.3,218.12,0.34
2,68.42,1.0,10.17,13455.86,272.78,0.563
3,16.56,3.0,15.22,19974.89,177.41,0.051
4,46.52,3.0,5.9,15152.77,257.29,0.44
5,59.09,5.0,15.77,19637.69,206.78,0.109
6,29.12,6.0,16.25,20715.5,180.3,0.008
7,6.0,2.0,18.0,17822.33,190.69,0.203
8,64.32,5.0,6.68,16431.96,237.59,0.337
9,55.7,6.0,4.63,14749.64,255.1,0.462
10,378.12,2.0,15.62,12505.33,439.34,0.905
11,446.67,6.0,12.56,12319.28,439.92,0.914
12,27.75,2.0,12.0,17487.0,195.42,0.228
13,38.0,2.0,1.33,10476.33,308.84,0.791
