Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,40.29,5.0,9.12,17164.62,220.3,0.314
1,75.45,6.0,7.0,15650.28,254.27,0.431
2,56.36,1.0,5.36,12437.08,288.83,0.642
3,104.25,3.0,2.0,11787.98,321.76,0.716
4,13.71,2.0,10.1,17190.43,200.41,0.298
5,80.11,3.0,12.79,17942.74,228.54,0.279
6,43.53,4.0,11.72,18184.95,208.13,0.246
7,13.36,2.0,2.82,12789.41,266.05,0.6
8,5.5,3.0,5.0,15827.75,219.32,0.389
9,185.45,2.0,16.18,15891.25,306.97,0.494
10,6.25,6.0,17.25,22072.0,176.86,0.0
11,354.33,1.0,15.67,10607.4,457.73,0.986
12,223.8,4.0,1.8,10266.94,392.2,0.891
