Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,50.75,5.0,8.38,17019.14,220.21,0.169
1,128.18,4.0,15.65,18103.74,249.23,0.18
2,255.48,6.0,13.64,15903.84,320.93,0.424
3,46.87,3.0,12.1,18416.3,208.68,0.073
4,86.66,1.0,9.02,12877.59,299.62,0.532
5,265.5,5.0,1.75,9078.29,449.47,1.0
6,126.26,4.0,5.81,14219.84,281.65,0.427
7,11.67,2.0,6.07,15339.73,220.56,0.278
8,14.91,6.0,3.09,13426.67,258.75,0.443
9,6.0,2.0,16.33,18881.67,187.0,0.012
10,236.67,2.0,12.11,14336.62,335.91,0.522
11,83.57,5.0,15.86,19045.01,215.78,0.078
