Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,209.4,2.0,5.33,12433.47,351.56,0.47
1,76.64,6.0,16.71,19768.71,217.82,0.065
2,102.06,3.0,7.32,15444.25,273.66,0.272
3,205.8,4.0,12.6,16623.42,301.72,0.256
4,119.37,5.0,4.53,13288.09,304.91,0.392
5,176.39,4.0,5.83,14068.28,310.13,0.363
6,96.58,3.0,16.92,18804.72,231.91,0.101
7,52.81,6.0,6.62,16413.83,228.31,0.192
8,50.54,1.0,12.82,14331.0,245.67,0.302
9,173.6,2.0,14.65,16423.88,283.62,0.242
10,61.0,5.0,13.78,18965.04,205.83,0.062
11,18.71,4.0,1.57,11224.29,289.76,0.478
12,255.25,4.0,16.88,16311.66,327.62,0.298
13,115.67,1.0,2.89,11041.08,349.15,0.528
14,502.75,6.0,1.25,6137.07,625.43,1.0
15,8.67,4.0,10.0,19158.33,176.4,0.032
