Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,13.75,4.0,15.58,20111.42,177.79,0.043
1,40.58,1.0,10.9,14329.28,245.8,0.47
2,25.2,5.0,12.4,19847.8,180.61,0.062
3,121.67,5.0,2.94,12864.38,317.26,0.695
4,104.39,2.0,6.04,14149.21,291.06,0.575
5,181.29,6.0,7.54,14692.09,311.03,0.604
6,117.61,4.0,7.03,15840.14,257.74,0.421
7,34.33,3.0,7.0,16307.67,217.94,0.315
8,9.58,3.0,13.63,19421.16,181.35,0.087
9,154.0,6.0,17.0,19007.04,242.79,0.264
10,103.23,5.0,8.62,16906.65,236.63,0.324
11,6.14,5.0,16.29,20707.71,171.44,0.0
12,130.44,2.0,14.81,16872.03,265.85,0.399
13,171.0,3.0,2.5,11021.48,379.55,0.928
14,6.5,4.0,1.0,9399.32,326.12,0.877
15,3.75,1.0,1.25,9313.33,363.82,0.963
