Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,78.53,2.0,3.87,13248.01,286.77,0.254
1,3.0,5.0,16.6,20308.2,180.28,0.0
2,9.26,1.0,13.04,15069.19,216.25,0.189
3,128.0,2.0,12.96,16096.58,265.0,0.152
4,109.27,5.0,5.09,14677.82,272.5,0.203
5,84.67,6.0,8.13,16884.49,227.22,0.123
6,73.38,6.0,14.81,19384.54,210.84,0.033
7,74.52,3.0,11.0,17305.41,230.88,0.108
8,15.33,1.0,3.67,12650.0,258.47,0.276
9,7.22,5.0,12.89,19750.0,182.96,0.02
10,17.0,6.0,3.14,14180.14,234.24,0.221
11,14.41,4.0,4.91,15016.15,231.86,0.191
12,10000.0,3.0,9.5,659.1,6092.48,1.0
13,114.55,4.0,13.55,17669.19,240.31,0.095
14,23.2,3.0,1.6,11458.3,299.21,0.319
