Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,105.38,4.0,5.67,14780.35,274.76,0.587
1,116.39,1.0,9.1,12942.63,306.72,0.834
2,102.33,3.0,9.02,16111.07,260.93,0.429
3,17.06,2.0,4.44,14501.76,233.68,0.549
4,45.93,5.0,5.3,15182.21,250.09,0.498
5,78.9,6.0,12.77,18882.27,217.66,0.098
6,73.0,4.0,14.06,18620.88,216.87,0.104
7,88.92,6.0,3.75,13521.89,285.53,0.734
8,4.5,2.0,17.38,17977.0,192.66,0.12
9,83.64,5.0,15.07,19005.58,218.15,0.099
10,255.0,2.0,9.0,13221.58,375.08,0.977
11,3.57,2.0,12.14,17363.29,201.63,0.195
