Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,18.71,2.0,2.71,13061.27,256.95,0.22
1,137.21,4.0,6.54,14716.38,286.16,0.156
2,95.49,3.0,8.34,15666.58,265.74,0.118
3,116.56,1.0,12.33,12883.6,308.44,0.227
4,133.37,2.0,10.38,15444.91,283.25,0.127
5,181.71,6.0,4.24,13296.81,328.75,0.211
6,84.48,6.0,13.19,18701.77,219.28,0.0
7,191.94,4.0,14.39,17080.87,277.88,0.064
8,3.71,5.0,5.43,15565.14,220.52,0.122
9,338.83,2.0,17.0,13938.45,398.71,0.187
10,104.13,1.0,4.78,11708.57,325.69,0.273
11,7.0,1.0,16.5,15005.75,218.06,0.144
12,139.25,5.0,12.97,17407.2,256.46,0.051
13,10000.0,2.0,10.0,569.02,6185.4,1.0
