Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,56.39,61.91,4.11,4.1,152.39,9.1,0.023
1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,64.37,62.18,3.75,3.56,368.25,35.64,0.229
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.14,62.42,4.14,3.91,207.84,12.86,0.052
3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.27,63.75,3.6,4.48,1750.89,135.04,1.0
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,55.18,63.37,4.31,3.99,107.09,6.11,0.0
5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,59.41,59.89,4.28,4.49,232.47,10.66,0.035
6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.06,56.12,3.91,3.89,235.53,11.07,0.038
7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.13,62.88,3.56,3.73,1436.12,93.19,0.675
8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.92,61.24,4.26,3.96,231.82,10.77,0.036
9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,57.79,62.89,4.66,4.35,227.82,8.43,0.018
10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,60.35,57.48,4.46,4.19,140.1,8.58,0.019
11,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59.29,61.25,4.23,3.99,461.93,30.85,0.192
12,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,60.41,56.96,4.53,3.97,186.55,11.37,0.041
13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.8,62.36,4.0,3.74,241.46,16.88,0.084
14,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,62.65,57.05,4.04,3.83,89.46,7.46,0.01
15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.94,61.98,3.86,3.85,217.42,18.84,0.099
