Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,54.5,61.7,3.52,4.26,133.24,8.08,0.008
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,56.2,62.72,3.07,3.8,102.27,6.85,0.006
2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,57.27,66.55,4.65,4.25,427.25,24.42,0.041
3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,61.47,57.06,5.47,4.85,312.61,11.79,0.016
4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,58.51,62.16,4.54,4.3,133.83,8.76,0.01
5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,61.54,62.95,4.51,3.69,162.75,7.33,0.007
6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,63.89,53.44,4.33,4.36,442.53,29.98,0.052
7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.67,63.56,3.56,3.93,216.82,14.11,0.02
8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.05,55.51,3.82,3.62,157.92,7.74,0.008
9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,60.34,58.14,4.05,4.31,177.72,20.66,0.034
10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,62.0,63.14,3.74,4.77,96.99,7.26,0.007
11,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,59.39,62.44,3.85,3.76,141.06,9.9,0.012
12,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.84,57.54,3.87,4.52,133.86,7.13,0.006
13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57.95,62.84,3.61,3.7,140.66,6.91,0.006
14,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.65,56.41,3.61,4.39,625.56,72.57,0.138
15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.29,21.43,7.0,4.29,145.21,4.0,0.0
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,83.0,3.4,6.2,11183.52,501.0,1.0
17,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61.92,66.15,4.77,1.77,239.06,15.0,0.022
18,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,32.0,84.0,5.6,7.4,10646.43,501.0,1.0
