Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,59.29,57.39,3.79,3.93,192.34,8.42,0.011
1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,58.72,64.55,3.65,4.12,442.15,39.76,0.207
2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.78,59.7,4.09,3.99,124.15,7.04,0.002
3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,56.79,62.57,3.66,3.79,680.78,51.2,0.279
4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.81,62.56,4.51,3.92,206.96,15.72,0.056
5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.14,59.84,4.04,4.32,211.77,8.29,0.01
6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.8,59.85,4.38,3.78,205.01,9.47,0.017
7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,61.29,59.16,4.09,3.97,112.65,6.75,0.0
8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,62.75,59.78,3.2,4.62,171.18,9.49,0.017
9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,62.8,58.17,3.77,3.91,171.16,12.12,0.034
10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57.89,57.55,4.33,4.4,165.38,6.72,0.0
11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.9,61.79,4.07,3.77,133.35,8.28,0.01
12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,58.85,57.14,3.78,4.51,92.04,7.02,0.002
13,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,58.99,62.23,3.98,4.01,348.87,21.62,0.093
14,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,61.54,60.49,3.56,3.78,177.54,10.92,0.026
15,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,58.17,61.34,3.9,3.76,2136.21,166.32,1.0
