Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55.4,65.1,4.28,4.2,348.21,15.18,0.138
1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,59.06,61.32,3.62,4.0,405.51,31.47,0.382
2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,62.07,56.85,3.07,4.24,269.94,11.91,0.089
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66.05,54.65,4.58,4.3,210.68,12.74,0.101
4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,59.5,59.9,4.28,4.16,136.73,7.12,0.017
5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,58.9,52.8,4.15,4.24,178.38,9.46,0.052
6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,59.48,58.44,3.81,4.15,101.15,5.98,0.0
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,56.75,61.75,3.9,4.33,115.62,6.4,0.006
8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59.24,63.48,3.48,3.61,324.02,23.72,0.266
9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,61.09,57.5,3.98,4.02,97.89,8.38,0.036
10,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,62.78,57.5,4.41,3.83,221.36,12.46,0.097
11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,57.65,69.85,3.47,3.41,379.77,16.47,0.157
12,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.0,66.62,3.56,3.15,646.1,61.56,0.832
13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,64.62,59.71,4.19,4.0,979.17,72.75,1.0
14,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.1,59.36,3.59,4.0,141.78,11.03,0.076
15,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,55.17,60.52,4.17,3.38,179.61,8.17,0.033
