Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,58.04,62.14,4.38,3.98,127.55,7.07,0.012
1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,57.93,56.9,3.52,3.38,622.71,58.17,0.469
2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,65.0,57.67,3.09,4.8,261.9,20.31,0.13
3,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,56.03,66.72,4.97,4.64,177.35,9.33,0.032
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,58.91,60.54,4.28,4.17,101.66,5.74,0.0
5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,52.43,61.71,4.63,5.26,100.07,6.49,0.007
6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,63.15,52.17,4.37,3.5,342.09,27.89,0.198
7,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,64.52,59.76,4.43,4.12,155.28,9.5,0.034
8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,60.83,62.02,3.93,4.29,469.24,25.57,0.177
9,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,62.5,59.89,3.95,3.52,132.94,7.59,0.017
10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.02,63.64,4.11,3.3,191.36,12.25,0.058
11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,61.43,58.37,3.73,3.27,171.4,8.8,0.027
12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61.91,65.0,3.21,3.88,178.68,11.18,0.049
13,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,55.34,68.64,3.48,4.16,1271.51,117.52,1.0
14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,59.1,58.21,3.74,3.67,167.66,7.36,0.014
15,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.66,62.17,3.58,4.7,215.61,7.98,0.02
