Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61.2,56.68,4.55,4.02,213.5,7.9,0.004
1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,59.61,60.62,4.34,4.22,361.45,23.42,0.035
2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,61.74,60.47,3.87,3.29,2369.59,178.35,0.348
3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,57.18,65.88,4.41,4.0,157.03,11.95,0.012
4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,58.25,62.44,4.21,4.09,133.27,7.71,0.003
5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,61.39,58.61,4.17,3.81,143.42,8.17,0.004
6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,57.17,63.33,3.96,3.97,94.35,7.73,0.003
7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,59.19,59.19,3.65,4.24,107.73,6.55,0.001
8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,59.3,64.59,4.3,4.37,240.26,16.02,0.02
9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.7,61.1,3.81,3.9,263.86,16.15,0.02
10,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,63.91,56.3,3.85,3.98,173.55,14.36,0.017
11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61.22,60.06,4.21,4.05,281.47,11.74,0.011
12,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.92,58.75,4.08,3.98,183.88,7.59,0.003
13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61.94,60.44,3.69,3.19,1512.38,107.03,0.204
14,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,57.95,60.72,4.34,4.3,116.62,6.12,0.0
15,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,60.0,57.98,4.52,3.94,577.59,38.22,0.065
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.0,33.0,7.4,6.4,15071.62,501.0,1.0
