Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,66.22,54.19,3.89,4.65,161.48,7.11,0.003
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,63.8,54.78,4.46,3.98,232.8,14.46,0.018
2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,55.64,63.18,3.89,4.47,159.36,10.35,0.009
3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.7,64.3,4.58,3.72,224.61,17.74,0.024
4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,53.93,63.1,4.0,4.17,477.06,25.5,0.04
5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.95,60.57,4.16,4.52,204.02,8.32,0.005
6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,66.4,55.81,4.49,3.88,113.5,6.19,0.001
7,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,61.81,58.97,4.36,3.95,126.09,6.76,0.002
8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,58.89,60.89,4.69,3.58,151.51,5.67,0.0
9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,55.66,67.24,3.95,3.97,928.87,74.34,0.139
10,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,53.06,70.81,3.58,3.26,657.55,73.81,0.138
11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.06,58.54,3.98,3.92,130.07,7.65,0.004
12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,64.61,56.08,3.69,4.0,92.93,7.59,0.004
13,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,65.28,55.14,4.22,4.64,337.46,20.81,0.031
14,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,51.25,67.16,3.75,4.0,296.3,13.39,0.016
15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.75,66.88,3.58,3.7,141.35,8.25,0.005
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28.0,80.0,6.2,3.6,11232.64,501.0,1.0
