Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,61.03,49.41,3.65,3.56,126.85,9.44,0.006
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57.21,65.58,4.42,3.84,152.94,6.44,0.0
2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,62.96,55.92,3.47,4.02,162.91,13.27,0.014
3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,62.56,57.44,3.39,3.66,203.47,19.39,0.026
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,56.36,65.34,3.93,4.14,117.34,6.77,0.001
5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,61.86,55.57,4.0,3.34,168.39,7.54,0.002
6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,60.78,66.08,4.12,4.73,201.5,7.59,0.002
7,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,61.27,55.0,4.04,4.58,461.21,35.98,0.06
8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,50.97,68.61,4.36,4.11,548.25,47.11,0.082
9,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,60.1,59.23,3.69,4.12,150.26,9.48,0.006
10,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,58.96,59.06,4.19,4.38,708.84,37.42,0.063
11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,52.59,63.19,4.05,4.19,154.96,9.64,0.006
12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,56.67,63.93,3.4,3.95,98.76,8.9,0.005
13,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,53.52,58.3,3.86,4.68,159.36,6.66,0.0
14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.58,58.37,3.67,4.04,188.81,16.23,0.02
15,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,54.5,69.5,1.85,3.3,1210.85,138.75,0.268
16,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,80.83,24.17,6.17,2.67,8400.7,501.0,1.0
