Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,63.02,66.72,4.26,3.98,161.19,9.93,0.043
1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,58.73,57.35,3.61,4.84,103.9,8.27,0.022
2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,55.78,56.27,3.96,4.57,122.06,6.51,0.0
3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,64.75,49.38,4.3,3.05,326.93,27.68,0.266
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,56.67,63.8,4.15,4.31,118.4,6.96,0.006
5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,62.7,61.76,4.78,3.92,241.05,15.65,0.115
6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,58.18,58.64,3.79,3.3,158.86,9.73,0.04
7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.13,50.88,3.23,4.88,144.15,6.83,0.004
8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,62.68,58.05,3.39,3.71,207.65,9.22,0.034
9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61.58,57.11,3.32,4.42,1250.98,86.21,1.0
10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.16,63.02,4.02,4.56,212.19,8.58,0.026
11,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.34,60.23,3.93,4.61,245.97,17.25,0.135
12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53.89,60.14,4.58,3.92,296.69,18.94,0.156
13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,62.2,60.76,4.59,4.24,202.84,12.68,0.077
14,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,53.24,65.44,4.21,4.24,546.25,47.03,0.508
15,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,60.78,58.53,3.8,3.55,225.6,14.08,0.095
