Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,58.51,63.51,3.96,3.51,131.55,8.69,0.014
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.63,59.49,4.06,4.05,163.5,7.06,0.001
2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,65.14,57.03,4.12,4.56,217.46,7.83,0.007
3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,62.04,60.37,4.37,3.97,129.15,7.52,0.004
4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,58.25,56.5,3.79,4.39,424.29,29.39,0.184
5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,62.18,61.86,3.7,4.01,156.69,12.38,0.044
6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,56.98,67.86,3.9,3.54,1704.91,115.19,0.887
7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,57.48,3.92,4.06,337.67,24.55,0.144
8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60.31,58.75,4.04,4.29,129.31,6.98,0.0
9,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,58.93,60.24,3.96,4.24,172.19,9.04,0.017
10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,58.43,62.3,4.24,3.57,106.41,11.11,0.034
11,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.22,55.27,3.76,3.76,176.39,8.29,0.011
12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,63.68,59.28,4.28,3.74,198.46,11.36,0.036
13,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,58.41,61.71,3.76,4.2,413.22,35.29,0.232
14,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,58.69,61.12,3.99,3.81,1653.89,129.03,1.0
15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,60.0,58.63,4.4,3.29,107.44,7.51,0.004
