Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59.49,59.85,4.32,4.31,360.36,19.12,0.117
1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,62.39,56.06,3.97,4.09,220.13,9.78,0.03
2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,59.4,63.64,4.52,3.96,153.84,8.03,0.013
3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,59.29,60.91,3.77,3.4,162.05,9.42,0.026
4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,61.92,59.55,3.91,4.05,252.22,23.03,0.153
5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,59.61,58.09,3.71,4.18,1285.28,98.6,0.856
6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,57.87,61.67,3.77,3.93,96.76,8.29,0.016
7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.2,64.24,4.15,3.89,187.4,7.88,0.012
8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,61.92,58.97,4.18,4.51,124.12,6.73,0.001
9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61.2,58.5,4.44,4.31,178.03,7.09,0.005
10,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,62.75,58.76,3.83,4.43,420.06,28.78,0.207
11,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,59.95,63.21,3.88,4.24,1915.34,114.08,1.0
12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,57.26,58.42,3.58,3.84,145.5,6.58,0.0
13,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,58.3,62.2,3.62,3.93,191.19,12.43,0.054
14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.94,61.28,3.66,4.23,260.36,17.52,0.102
15,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,59.3,61.86,4.23,4.09,120.2,6.62,0.0
