Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.34,54.47,3.66,4.32,128.21,5.39,0.0
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.73,58.57,3.8,4.38,208.98,11.71,0.083
2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,61.48,57.04,4.07,4.07,220.3,16.89,0.151
3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60.61,60.37,4.83,3.51,114.64,7.15,0.023
4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.33,58.04,4.22,3.24,175.26,9.63,0.056
5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,62.91,49.82,4.27,4.35,751.22,46.27,0.538
6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,66.67,59.11,3.04,3.69,144.28,10.36,0.065
7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,62.56,53.67,3.62,3.47,105.02,12.36,0.092
8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,57.9,59.03,4.19,4.29,951.09,81.35,1.0
9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,62.22,54.56,4.02,4.31,108.45,6.42,0.014
10,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,61.07,60.63,3.62,3.61,112.07,7.66,0.03
11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.24,55.0,3.48,3.91,165.68,8.1,0.036
12,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.97,60.88,4.09,3.32,200.11,24.79,0.255
13,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,67.16,60.45,4.3,5.02,444.73,34.7,0.386
14,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,56.76,65.41,4.11,4.19,213.39,8.27,0.038
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,64.17,61.83,3.67,3.77,773.16,65.43,0.79
