Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.4,59.1,4.01,4.01,170.24,7.04,0.001
1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.51,62.72,3.89,4.08,1302.5,100.08,0.189
2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,55.8,60.23,3.91,3.89,123.66,7.69,0.002
3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,63.19,55.25,4.08,3.92,114.28,6.46,0.0
4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.28,60.11,4.07,4.0,154.22,9.74,0.007
5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,61.42,60.32,3.8,4.38,161.67,6.67,0.0
6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.84,57.31,4.46,3.87,169.14,12.72,0.013
7,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,60.21,57.47,3.72,3.67,387.44,30.06,0.048
8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,62.57,58.99,4.23,4.24,434.54,25.72,0.039
9,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,59.63,57.79,3.91,4.28,198.01,8.38,0.004
10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61.26,61.4,4.23,4.12,210.82,11.67,0.011
11,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,60.89,57.72,4.36,3.94,110.35,6.47,0.0
12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.75,57.26,3.89,3.9,272.97,17.55,0.022
13,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,60.34,58.85,4.53,4.05,96.5,7.53,0.002
14,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.43,60.37,3.98,3.57,1792.09,118.12,0.226
15,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,57.5,62.61,4.35,4.21,163.12,8.79,0.005
16,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,23.0,78.0,7.2,3.8,9385.23,501.0,1.0
