Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,55.4,62.3,3.86,3.77,126.75,7.57,0.002
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.41,57.28,4.01,3.95,165.88,7.34,0.002
2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.44,58.54,3.57,3.84,170.17,8.39,0.004
3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,59.5,60.06,3.7,3.84,104.48,6.43,0.0
4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,62.68,62.44,3.83,4.01,225.45,14.2,0.016
5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,61.62,60.61,4.67,3.88,436.01,25.8,0.039
6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,58.52,61.82,4.48,4.69,220.86,8.48,0.004
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,64.87,57.88,4.17,4.03,133.47,8.15,0.003
8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,59.73,59.63,4.17,3.86,194.7,9.06,0.005
9,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,61.54,57.69,4.16,4.26,342.26,24.52,0.037
10,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,61.87,58.48,3.91,4.45,194.92,19.49,0.026
11,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,61.37,62.74,4.35,4.27,98.68,7.36,0.002
12,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,60.99,57.91,3.69,4.02,136.54,8.81,0.005
13,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,61.32,57.45,4.04,4.54,159.84,11.9,0.011
14,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,62.8,58.13,3.67,4.63,1243.22,93.95,0.177
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.5,84.5,2.7,5.8,9500.07,462.7,0.923
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,65.48,54.52,4.65,3.58,526.27,40.67,0.069
17,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,28.33,83.33,5.67,7.5,10738.95,501.0,1.0
18,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,77.5,23.33,2.5,7.33,11587.44,501.0,1.0
