Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.67,60.41,3.86,3.75,169.38,8.13,0.005
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,61.18,61.32,4.21,3.85,140.46,8.06,0.005
2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,57.98,60.06,4.2,4.29,487.35,32.12,0.053
3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61.21,57.93,3.8,3.55,1343.5,85.31,0.161
4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,61.79,57.96,3.72,4.27,248.88,19.6,0.028
5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,55.46,65.14,4.49,4.35,155.44,8.38,0.005
6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,60.0,61.21,4.37,3.93,102.49,5.83,0.0
7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,58.28,60.33,3.86,3.96,102.78,9.2,0.007
8,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,60.05,58.21,4.11,3.97,453.04,37.55,0.064
9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,62.41,59.44,4.11,3.9,143.52,8.49,0.005
10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,59.49,62.73,3.8,3.84,162.84,12.72,0.014
11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,63.14,59.36,3.98,3.94,201.35,12.34,0.013
12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.91,59.95,3.93,4.1,173.95,7.34,0.003
13,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,58.01,64.41,3.56,4.15,1650.76,136.96,0.265
14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.42,60.97,3.6,4.39,154.74,7.73,0.004
15,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.95,60.19,4.23,4.34,243.54,8.97,0.006
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,89.38,28.12,5.88,6.0,13466.91,501.0,1.0
