Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,3.0,156.25,1.62,4.38,325000.0,100000.0,3878.18,9216.76,0.731
1,3.0,10000.0,1.33,1.0,1000000.0,7000.0,9263.03,17276.1,0.788
2,1.0,403.75,1.88,300.0,212500.0,4375.0,23437.4,3384.46,0.581
3,3.0,10.0,9.0,7.0,400000.0,100000.0,16026.67,17.75,0.62
4,3.0,1000.0,18.0,7.0,2000000.0,7000.0,117333.33,227.97,0.005
5,3.0,340.0,12.0,120.0,1000000.0,7000.0,49568.67,75.52,0.415
6,1.0,317.06,1.94,6.29,417647.06,6294.12,18294.15,1668.94,0.608
7,3.0,520.0,2.5,4.0,100000.0,2500.0,61571.33,271.04,0.341
8,3.0,340.0,15.0,7.0,10000000.0,100000.0,43632.33,105.71,0.451
9,3.0,355.0,1.67,7.0,10000000.0,5500.0,13635.76,6554.8,0.655
10,1.0,40.0,2.0,60.0,1000000.0,1000.0,26618.0,18.86,0.555
11,3.0,32.5,1.25,1.0,775000.0,10000.0,2518.44,1086.82,0.703
12,1.0,257.5,1.25,3.25,10000000.0,5500.0,9314.79,5191.99,0.674
13,3.0,1000.0,2.33,120.0,400000.0,100000.0,45249.1,6111.52,0.466
14,1.0,55.0,2.0,60.0,2000000.0,100000.0,10125.12,701.69,0.657
15,3.0,700.0,18.0,7.0,700000.0,10000.0,93299.0,164.86,0.147
16,3.0,40.0,6.0,7.0,400000.0,7000.0,22668.67,33.88,0.58
17,1.0,370.0,1.0,120.0,2000000.0,7000.0,9961.86,7060.09,0.68
18,3.0,370.0,15.0,1.0,400000.0,1000.0,60743.87,91.94,0.346
19,3.0,70.0,2.0,60.0,10000000.0,1000.0,15061.87,202.2,0.626
20,1.0,10000.0,1.67,7.0,400000.0,100000.0,1837.47,28586.67,1.0
21,1.0,400.0,2.33,300.0,10000000.0,100000.0,13012.64,2973.55,0.643
