Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,3.0,10.0,6.0,7.0,400000.0,7000.0,15108.67,17.38,0.639
1,1.0,400.0,12.0,7.0,2000000.0,1000.0,48159.0,54.68,0.484
2,1.0,10000.0,2.0,60.0,1000000.0,1000.0,46977.37,13265.34,0.86
3,3.0,257.5,15.0,7.75,2000000.0,5500.0,41582.0,63.83,0.515
4,3.0,700.0,15.0,7.0,10000000.0,4000.0,92404.67,220.51,0.277
5,1.0,10000.0,9.0,7.0,10000000.0,4000.0,132000.0,460.14,0.095
6,1.0,64.0,18.0,4.6,640000.0,4600.0,27314.4,25.09,0.581
7,3.0,670.0,12.0,7.0,1000000.0,4000.0,91711.33,129.58,0.28
8,1.0,527.5,9.0,120.0,1000000.0,7750.0,57714.0,50.03,0.439
9,1.0,70.0,9.0,7.0,1000000.0,1000.0,38814.67,13.49,0.528
10,1.0,70.0,9.0,4.0,100000.0,10000.0,38609.67,13.6,0.529
11,1.0,325.0,12.0,7.75,550000.0,1000.0,46513.5,46.04,0.492
12,1.0,700.0,6.0,120.0,700000.0,100000.0,60771.67,70.92,0.425
13,3.0,10000.0,2.67,4.0,2000000.0,1000.0,145607.33,3996.3,0.214
14,3.0,244.0,2.0,120.0,10000000.0,100000.0,11382.27,9080.49,0.815
15,1.0,700.0,12.0,7.0,1000000.0,100000.0,60411.0,73.85,0.427
16,1.0,10000.0,9.0,7.0,700000.0,4000.0,151666.67,372.54,0.019
17,3.0,226.0,1.8,4.6,640000.0,100000.0,5192.58,8436.07,0.819
18,1.0,527.5,3.0,5.5,1000000.0,10000.0,55228.5,54.24,0.451
19,1.0,752.5,15.0,300.0,325000.0,7750.0,56442.5,93.84,0.445
20,1.0,55.0,1.5,7.75,100000.0,7750.0,10918.85,78.69,0.658
21,1.0,400.0,1.0,60.0,700000.0,100000.0,446.94,11172.1,0.924
22,3.0,257.5,9.0,3.25,775000.0,7750.0,46616.0,59.02,0.491
