Cluster,Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-,d2h
0,3.0,3.0,1.78,3906000.0,2048.0,10614.82,299.24,0.767
1,2.0,2.0,2.0,4174181.82,2048.0,10948.45,190.46,0.614
2,3.0,1.0,12.0,2184000.0,2048.0,12573.33,241.21,0.602
3,2.0,3.0,2.0,6895714.29,1024.0,11039.11,180.92,0.6
4,3.0,3.0,2.2,3620400.0,1024.0,11668.62,272.38,0.685
5,1.0,1.0,2.0,4486600.0,512.0,10969.63,92.05,0.542
6,1.0,1.0,12.0,2184000.0,1024.0,14960.33,66.43,0.31
7,1.0,1.0,1.86,3259428.57,1024.0,10706.69,92.91,0.557
8,1.0,3.0,9.0,5334000.0,2048.0,12968.33,72.56,0.424
9,2.0,1.0,2.2,4039400.0,2048.0,11195.43,183.52,0.594
10,2.0,6.0,2.12,4263000.0,2048.0,11280.48,174.09,0.581
11,2.0,6.0,6.0,3937333.33,1024.0,13054.33,148.07,0.466
12,1.0,6.0,1.91,4555090.91,512.0,10874.65,91.03,0.547
13,2.0,3.0,12.0,3937333.33,1024.0,14727.0,133.63,0.368
14,1.0,2.0,12.0,5596666.67,1024.0,20027.0,49.25,0.021
15,2.0,6.0,12.0,5596666.67,512.0,15552.0,129.68,0.324
16,3.0,6.0,1.86,4123428.57,2048.0,10968.84,290.98,0.741
17,3.0,3.0,9.0,2184000.0,512.0,16810.33,184.62,0.353
18,3.0,2.0,6.0,5596666.67,512.0,14056.33,213.53,0.501
19,1.0,2.0,12.0,5596666.67,512.0,20401.0,48.28,0.0
20,1.0,1.0,6.0,5596666.67,512.0,14213.0,69.5,0.353
21,2.0,3.0,9.0,5596666.67,512.0,13780.0,140.82,0.423
22,3.0,2.0,1.86,4834571.43,2048.0,10420.2,305.18,0.784
23,2.0,2.0,6.0,2184000.0,2048.0,13278.33,150.11,0.457
24,1.0,1.0,6.0,3937333.33,1024.0,14105.33,68.46,0.359
25,1.0,3.0,6.0,4263000.0,1024.0,12563.0,75.67,0.447
26,3.0,6.0,2.0,105000000.0,512.0,11437.07,272.91,0.695
27,3.0,6.0,6.0,5334000.0,512.0,15481.0,198.98,0.423
28,1.0,1.0,12.0,3937333.33,2048.0,14764.33,66.68,0.321
29,2.0,6.0,1.75,4263000.0,512.0,10731.49,182.49,0.617
30,3.0,6.0,9.0,4263000.0,2048.0,17145.75,178.19,0.331
31,2.0,3.0,6.0,5334000.0,1024.0,12892.33,153.4,0.48
32,3.0,3.0,2.11,5509111.11,512.0,11413.31,283.67,0.712
33,3.0,1.0,2.09,4555090.91,2048.0,10628.12,296.31,0.762
34,3.0,1.0,1.0,5596666.67,512.0,7905.8,382.42,1.0
35,1.0,1.0,9.0,5334000.0,2048.0,14355.67,69.53,0.345
36,3.0,3.0,12.0,5334000.0,512.0,17765.33,174.33,0.306
37,1.0,1.0,12.0,5334000.0,512.0,15054.33,64.46,0.305
38,1.0,3.0,12.0,4263000.0,2048.0,12741.75,74.51,0.437
39,2.0,2.0,1.78,4956000.0,1024.0,10531.78,199.99,0.644
40,2.0,3.0,2.22,4402888.89,512.0,11159.08,178.64,0.591
41,1.0,2.0,2.0,3484571.43,512.0,11128.26,93.38,0.533
42,1.0,3.0,2.0,1415200.0,1024.0,11163.46,87.5,0.529
43,3.0,3.0,6.0,4263000.0,512.0,15220.5,199.67,0.434
44,2.0,2.0,6.0,4263000.0,1024.0,13153.0,152.2,0.465
45,2.0,1.0,6.0,2184000.0,1024.0,12674.67,152.95,0.49
46,3.0,6.0,9.0,2184000.0,512.0,17172.33,179.87,0.333
47,3.0,6.0,2.0,4984400.0,1024.0,11404.91,274.16,0.698
48,1.0,1.0,6.0,4263000.0,2048.0,13955.5,69.81,0.368
49,2.0,6.0,6.0,4263000.0,2048.0,13100.5,148.53,0.464
50,1.0,6.0,9.0,4263000.0,1024.0,13190.75,71.8,0.411
51,1.0,6.0,2.43,3372000.0,1024.0,11699.0,83.77,0.498
52,1.0,3.0,2.8,5510400.0,2048.0,11901.0,80.76,0.486
53,2.0,2.0,9.0,5596666.67,1024.0,13718.67,146.73,0.432
54,3.0,1.0,2.0,3462800.0,1024.0,10734.76,292.59,0.753
55,2.0,2.0,1.8,3960600.0,512.0,10758.92,196.0,0.629
56,1.0,2.0,12.0,5596666.67,2048.0,20039.67,51.36,0.021
57,3.0,6.0,9.0,5334000.0,1024.0,17364.0,181.17,0.33
58,1.0,6.0,6.0,4263000.0,2048.0,13058.75,72.25,0.419
59,2.0,3.0,9.0,5596666.67,2048.0,13862.0,144.8,0.423
60,3.0,6.0,1.78,4459111.11,512.0,10690.7,294.37,0.757
61,1.0,3.0,12.0,5334000.0,1024.0,12964.0,73.84,0.424
