Cluster,Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-,d2h
0,2.0,6.0,12.0,3937333.33,2048.0,15159.67,130.91,0.37
1,2.0,3.0,12.0,4263000.0,2048.0,14368.5,135.67,0.417
2,1.0,6.0,2.0,4263000.0,2048.0,11076.02,88.46,0.572
3,2.0,3.0,2.17,2882333.33,2048.0,11028.78,180.35,0.644
4,1.0,6.0,2.33,3890333.33,512.0,11650.27,84.76,0.536
5,1.0,2.0,9.0,5334000.0,512.0,19245.67,51.7,0.069
6,2.0,6.0,2.12,4298250.0,512.0,11239.52,174.9,0.627
7,2.0,6.0,12.0,3937333.33,1024.0,15585.0,127.96,0.344
8,3.0,2.0,2.0,5043555.56,2048.0,10810.58,293.2,0.81
9,3.0,2.0,1.88,3605500.0,512.0,10577.11,299.52,0.83
10,1.0,2.0,12.0,5334000.0,512.0,20374.33,47.83,0.0
11,3.0,3.0,1.89,4956000.0,1024.0,10882.62,291.74,0.804
12,1.0,1.0,9.0,4263000.0,1024.0,14643.25,65.79,0.35
13,1.0,1.0,1.89,3818444.44,1024.0,10721.43,92.63,0.595
14,1.0,1.0,12.0,4263000.0,2048.0,14720.5,66.44,0.346
15,3.0,1.0,1.25,2948000.0,2048.0,8722.7,355.01,1.0
16,1.0,3.0,6.0,5334000.0,2048.0,12470.67,75.87,0.484
17,1.0,1.0,2.12,3081750.0,2048.0,11084.02,89.58,0.572
18,2.0,1.0,2.0,2052666.67,2048.0,10688.67,194.46,0.678
19,2.0,6.0,2.0,3818444.44,1024.0,10909.57,181.13,0.651
20,1.0,3.0,9.0,5596666.67,2048.0,12706.0,73.48,0.469
21,2.0,3.0,2.75,4263000.0,512.0,11753.75,169.63,0.594
22,3.0,6.0,2.25,3081750.0,1024.0,11967.88,262.13,0.71
23,2.0,3.0,9.0,5596666.67,512.0,13780.0,140.82,0.454
24,3.0,1.0,2.2,1415200.0,512.0,10802.84,292.77,0.81
25,3.0,3.0,6.0,5596666.67,1024.0,15432.67,198.56,0.459
26,3.0,6.0,12.0,3937333.33,512.0,18624.0,172.42,0.306
27,3.0,2.0,2.0,4565400.0,1024.0,10579.1,299.52,0.83
28,2.0,6.0,6.0,4263000.0,1024.0,13065.0,147.92,0.5
29,3.0,2.0,9.0,5334000.0,512.0,15252.67,201.55,0.471
30,2.0,2.0,2.22,3818444.44,1024.0,11458.06,181.74,0.623
31,2.0,6.0,2.0,6066500.0,2048.0,11019.14,179.09,0.643
32,3.0,3.0,2.1,3960600.0,2048.0,11484.38,276.82,0.754
33,3.0,3.0,6.0,4263000.0,2048.0,15470.75,200.22,0.46
34,2.0,1.0,9.0,5334000.0,512.0,13530.67,146.15,0.473
35,1.0,1.0,12.0,2184000.0,1024.0,14960.33,66.43,0.331
36,3.0,1.0,6.0,5334000.0,2048.0,12055.0,248.63,0.685
37,1.0,6.0,9.0,2184000.0,2048.0,13840.67,69.17,0.4
38,3.0,6.0,6.0,4263000.0,512.0,15553.25,197.67,0.452
39,1.0,1.0,12.0,3937333.33,512.0,15035.0,65.22,0.326
40,3.0,1.0,6.0,4263000.0,512.0,11935.75,252.14,0.695
41,2.0,2.0,9.0,2184000.0,512.0,14223.67,143.23,0.433
42,1.0,3.0,2.0,3484571.43,512.0,10918.39,89.49,0.582
43,2.0,3.0,12.0,3937333.33,512.0,14235.67,136.87,0.425
44,3.0,3.0,6.0,3937333.33,512.0,15335.33,199.45,0.464
45,3.0,3.0,12.0,3937333.33,2048.0,18109.33,171.01,0.315
46,3.0,6.0,2.0,105000000.0,2048.0,11606.23,275.67,0.747
47,2.0,1.0,9.0,4263000.0,2048.0,13718.0,144.26,0.461
48,1.0,6.0,12.0,4263000.0,2048.0,13929.5,67.49,0.394
