Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,15.79,4.0,8.29,16858.5,211.98,0.19
1,71.22,5.0,14.94,19107.16,216.38,0.12
2,67.0,5.0,6.86,16195.61,231.03,0.21
3,5.65,2.0,15.48,18761.57,185.22,0.13
4,7.0,6.0,7.17,17326.17,205.49,0.18
5,110.11,3.0,3.37,12547.73,317.82,0.33
6,68.94,1.0,4.88,12155.78,295.43,0.34
7,100.38,2.0,5.62,14011.05,293.76,0.28
8,89.31,3.0,13.62,18154.02,230.78,0.15
9,82.86,1.0,12.86,13887.89,272.65,0.29
10,170.67,3.0,8.83,15366.98,289.19,0.24
11,6.67,4.0,17.33,20808.67,170.67,0.07
12,5.0,5.0,1.67,11883.68,288.62,0.35
13,130.5,6.0,2.38,12084.83,332.53,0.34
14,128.35,6.0,14.94,18441.47,243.72,0.14
15,129.75,6.0,10.38,17251.42,254.78,0.18
16,10000.0,2.0,14.0,573.32,6169.87,0.9
