Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,165.08,1.0,15.69,13648.15,318.02,0.29
1,92.67,5.0,12.62,17867.77,233.39,0.16
2,98.83,4.0,6.75,14967.13,272.2,0.25
3,85.69,1.0,7.5,13499.46,281.81,0.3
4,96.58,6.0,12.83,18571.65,231.27,0.14
5,11.92,2.0,7.62,16303.15,212.34,0.21
6,29.25,3.0,17.75,20286.0,177.28,0.09
7,63.59,3.0,7.33,16030.37,242.39,0.22
8,13.18,2.0,15.64,18588.64,187.96,0.14
9,27.75,5.0,6.0,16275.25,209.37,0.21
10,4.43,5.0,1.71,11661.63,298.21,0.36
11,13.09,2.0,2.64,12766.19,266.71,0.32
12,142.25,6.0,4.25,13909.44,291.18,0.29
13,5.17,4.0,17.17,20855.33,170.34,0.07
14,5.0,3.0,14.75,19708.25,188.57,0.1
