Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,48.94,4.0,10.06,17160.32,224.99,0.18
1,6.0,2.0,6.4,16052.3,218.12,0.22
2,68.42,1.0,10.17,13455.86,272.78,0.3
3,16.56,3.0,15.22,19974.89,177.41,0.1
4,46.52,3.0,5.9,15152.77,257.29,0.25
5,59.09,5.0,15.77,19637.69,206.78,0.11
6,29.12,6.0,16.25,20715.5,180.3,0.07
7,6.0,2.0,18.0,17822.33,190.69,0.16
8,64.32,5.0,6.68,16431.96,237.59,0.21
9,55.7,6.0,4.63,14749.64,255.1,0.26
10,378.12,2.0,15.62,12505.33,439.34,0.33
11,446.67,6.0,12.56,12319.28,439.92,0.33
12,27.75,2.0,12.0,17487.0,195.42,0.17
13,38.0,2.0,1.33,10476.33,308.84,0.39
