Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,236.11,4.0,16.89,16378.46,309.38,0.21
1,109.26,2.0,9.67,15319.47,274.78,0.24
2,104.9,4.0,9.4,16871.28,249.52,0.19
3,119.2,4.0,3.45,13405.55,304.5,0.3
4,41.71,1.0,10.22,14149.58,247.11,0.28
5,88.13,6.0,7.47,15671.35,264.79,0.23
6,12.38,5.0,6.23,16282.35,214.73,0.21
7,403.4,3.0,1.2,6682.94,589.49,0.51
8,86.04,3.0,11.81,17782.02,232.99,0.16
9,10000.0,2.0,2.0,462.29,7638.37,0.91
10,170.67,6.0,17.0,18350.32,273.38,0.15
11,336.67,5.0,17.67,15429.7,363.52,0.24
12,24.6,5.0,14.4,19605.6,183.44,0.11
13,4.0,3.0,3.0,15055.67,220.97,0.25
