Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,108.29,6.0,9.75,16727.0,250.1,0.18
1,4.67,5.0,16.67,20384.33,184.43,0.07
2,100.77,4.0,8.68,16369.1,247.86,0.19
3,5.0,5.0,4.0,15712.0,212.67,0.21
4,36.0,2.0,1.67,11357.68,285.21,0.35
5,100.55,5.0,9.77,17144.1,246.14,0.17
6,176.94,2.0,6.89,14065.95,319.47,0.27
7,276.4,2.0,13.87,14090.68,361.31,0.27
8,95.75,1.0,3.5,11123.76,342.24,0.36
9,99.83,3.0,8.22,15978.16,254.96,0.21
10,304.2,1.0,16.1,11564.67,425.5,0.35
11,213.5,1.0,11.8,12714.14,360.5,0.31
12,201.91,3.0,15.64,16549.36,299.19,0.19
13,141.63,4.0,16.75,18297.39,251.71,0.13
14,4.5,4.0,1.5,10660.55,313.68,0.38
15,303.71,3.0,1.57,8881.83,484.0,0.43
16,26.2,5.0,1.6,11591.3,289.93,0.35
