Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,74.67,4.0,8.28,16042.98,250.75,0.21
1,185.09,2.0,3.18,11660.21,368.12,0.35
2,171.33,1.0,3.25,10825.43,381.46,0.38
3,78.33,3.0,7.6,15982.8,248.4,0.22
4,4.73,1.0,9.09,14413.0,226.19,0.26
5,204.36,6.0,2.91,12162.3,358.85,0.34
6,144.87,5.0,3.33,12924.13,322.41,0.31
7,109.25,5.0,13.2,17787.17,239.33,0.16
8,15.26,6.0,10.0,18557.37,186.38,0.13
9,45.43,2.0,12.87,17464.43,212.92,0.17
10,81.38,1.0,15.62,14048.64,270.85,0.28
11,5.33,6.0,15.0,21063.67,172.79,0.05
12,277.75,3.0,15.0,16128.1,327.45,0.21
13,17.57,3.0,17.29,20274.71,178.51,0.08
14,6.0,6.0,17.33,21715.33,168.83,0.03
