Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,16.38,4.0,14.75,19537.12,178.55,0.07
1,77.96,1.0,8.78,13042.53,292.83,0.28
2,96.38,5.0,11.29,17439.08,232.32,0.14
3,165.97,2.0,11.0,15505.09,290.73,0.2
4,149.55,3.0,12.79,16881.47,270.23,0.16
5,23.0,5.0,2.67,13886.42,240.77,0.26
6,13.61,6.0,11.19,18976.75,188.48,0.09
7,84.14,4.0,6.97,15555.43,251.68,0.2
8,130.13,3.0,2.62,12740.56,323.58,0.3
9,16.75,2.0,1.5,10579.55,313.24,0.37
10,205.8,6.0,1.8,10186.34,384.04,0.38
11,10000.0,1.0,7.0,468.89,7360.03,0.89
