Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,99.96,6.0,8.35,15951.21,258.49,0.2
1,135.29,3.0,9.29,15722.08,276.67,0.21
2,5.73,5.0,15.45,20606.73,181.6,0.05
3,203.6,5.0,5.6,13461.48,323.75,0.28
4,37.53,4.0,8.71,16455.95,226.69,0.18
5,69.38,2.0,7.12,15032.86,257.79,0.23
6,154.36,1.0,13.93,13079.57,322.95,0.29
7,92.3,1.0,5.39,12141.35,313.78,0.32
8,279.0,5.0,8.25,14368.12,339.22,0.25
9,141.12,2.0,16.75,16447.99,270.0,0.18
10,354.0,5.0,1.83,9556.47,475.89,0.41
11,35.67,1.0,18.0,14223.67,224.66,0.26
12,20.33,5.0,11.0,18789.17,193.47,0.11
13,10000.0,2.0,14.0,573.32,6169.87,0.87
