Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,61.19,4.0,6.43,15522.42,236.59,0.23
1,91.59,5.0,7.36,15575.4,255.7,0.23
2,255.77,1.0,3.77,10103.07,424.98,0.4
3,104.26,1.0,13.91,13726.3,285.36,0.29
4,120.07,2.0,8.89,14677.59,283.44,0.26
5,5.0,4.0,12.5,19301.25,188.34,0.11
6,10000.0,2.0,13.0,567.42,6202.1,0.86
7,68.77,6.0,10.72,17821.06,217.58,0.16
8,36.33,6.0,1.0,9297.43,341.05,0.43
9,186.55,3.0,5.09,13532.85,325.28,0.29
10,204.2,3.0,1.6,9849.84,414.08,0.41
11,147.57,5.0,16.71,18203.44,263.82,0.15
12,114.55,4.0,16.64,19092.13,228.2,0.12
13,20.0,3.0,13.29,19669.0,177.87,0.1
14,369.33,3.0,8.0,12797.33,405.84,0.32
