Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,110.25,4.0,5.8,8065.79,396.75,0.2
1,4.67,1.0,1.0,5452.3,526.52,0.36
2,83.67,3.0,8.74,8400.21,371.09,0.17
3,20.83,2.0,4.75,8167.75,352.8,0.19
4,96.89,6.0,10.36,8124.89,378.87,0.19
5,139.26,1.0,9.74,5807.24,536.08,0.34
6,9.56,5.0,5.52,8761.23,324.39,0.15
7,169.67,4.0,17.17,8664.58,388.73,0.16
8,6.0,4.0,12.12,9066.52,308.62,0.13
9,4.5,2.0,17.38,8339.25,344.44,0.18
10,96.42,5.0,14.67,8836.74,356.17,0.15
11,255.0,2.0,9.0,6576.75,520.81,0.29
12,3.57,2.0,12.14,8700.21,330.73,0.15
