Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,40.29,5.0,9.12,8931.18,333.82,0.14
1,78.93,6.0,6.81,8473.44,362.43,0.17
2,66.33,1.0,5.43,5995.27,485.2,0.33
3,137.78,3.0,2.0,7893.03,414.21,0.21
4,15.0,2.0,10.0,8364.83,338.87,0.18
5,82.81,3.0,12.63,8492.49,362.99,0.17
6,44.69,4.0,11.94,8695.34,336.72,0.15
7,5.62,2.0,2.62,8068.15,358.91,0.2
8,5.5,3.0,5.0,9440.7,308.65,0.11
9,203.8,2.0,16.2,7131.29,472.98,0.26
10,6.25,6.0,17.25,9474.23,288.92,0.1
11,354.33,1.0,15.67,4701.08,684.81,0.41
12,29.75,4.0,1.75,9414.4,307.92,0.11
13,60000.0,4.0,6.0,248.25,39506.67,0.89
