Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,114.42,4.0,9.63,8488.07,376.41,0.17
1,98.78,2.0,9.66,7533.74,411.75,0.23
2,46.11,1.0,9.56,6085.2,483.38,0.32
3,127.87,6.0,9.21,8350.07,384.0,0.18
4,72.91,5.0,8.03,8392.26,363.7,0.17
5,55.26,3.0,11.04,8557.93,352.38,0.16
6,146.86,3.0,2.0,8466.12,400.16,0.17
7,161.43,5.0,17.29,8007.64,397.47,0.2
8,60000.0,4.0,3.0,200.67,37329.0,0.86
9,60000.0,1.0,16.0,191.06,47037.6,0.94
10,60000.0,3.0,12.0,155.78,42804.67,0.9
11,10000.0,5.0,11.5,346.58,7410.65,0.7
12,10000.0,1.0,9.5,297.64,8795.3,0.7
13,60000.0,4.0,16.0,252.11,34816.6,0.84
14,10000.0,4.0,5.0,321.24,8292.47,0.7
